,Title,Context,Unnamed: 2,Length,Category,Countries mentioned,Top5-Hot-Words,Organizations,URL,Release Date
4,与美国谈判“自由联系条约” 帕劳将获双倍援助,【南太之声编译报道】帕劳总统惠普斯（Surangel Whipps Jr）近日公布了根据该国与美国重新谈判的“自由联系条约”条款而制定的新经济方案的一些细节。新西兰RNZ5月1日报道，惠普斯说，美国承诺的总金额比最初提出的价格高出一倍多。在上周的国情咨文中，惠普斯表示，他们希望在下个月签署一项协议。据报道，惠普斯在国会表示:“我们预计在下个月将签署一项契约协议，承认帕劳人民作为一个主权国家的价值，以及我们为全球舞台带来的价值。”他说:“新协议包括在谈判的基础上继续提供援助的条款。这意味着至少在未来20年内，我们不必完全依赖信托基金。”一揽子计划包括每年500万美元用于基础设施建设，另外每年500万美元用于维护。美国还承诺提供为期六年的资金，每年1000万美元，用于偿还帕劳与新冠病毒有关的大部分贷款，并为契约信托基金提供1亿美元，以保持其（经济）增长。该契约的经济条款将于明年到期，但美国和帕劳的谈判代表同意提前一年更新这些条款。至于国家经济，惠普斯表达了对复苏的信心。“2022年，我们的表现比最初预期的要好，尽管旅游业没有像我们希望的那样迅速反弹。但我们对社区的需求做出了迅速的反应，让资金在社区中流动。”,,509,其他,美国 新西兰 帕劳,美国 帕劳 惠普斯 谈判 条款 ,信托基金 亚太计划,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228884&idx=4&sn=4c05d5823b6b56ce71bf24a6c993892e&chksm=bef6db6289815274ee96cdb85656c252987509fda08e9840132765a9029dbfcd25750659a705#rd,1683350860
",2023.5.7
9,巴新将在中国设立贸易委员会 总部选在上海,【南太之声编译报道】巴布亚新几内亚国际贸易和投资部长玛卢（Richard Maru）近日表示，中国将是巴布亚新几内亚设立贸易代表团的八个国家之一。巴新《国民报》5月4日报道，玛卢在政府决定建立国家贸易委员会服务之后做出了这一决定。他说:“我们的贸易代表将在外国使团内拥有自己的机构或独立办事处，或者任命巴新贸易专员和世界各地的名誉贸易专员。”玛卢表示，贸易专员的主要职责是为巴新商品寻找出口（市场），促进贸易和投资机会，特别是外国直接投资。“其中一个主要优先事项是吸引投资者投资我们的经济特区，以及与中国和印度尼西亚等国家的自由贸易谈判。”首批成立的8个贸易委员会包括：中国上海、澳大利亚布里斯班、泰国曼谷、印尼雅加达、欧盟总部所在地布鲁塞尔、阿联酋迪拜、菲律宾马尼拉和新加坡。玛卢补充说:“就优先事项而言，我们希望在上海建立第一个贸易委员会。这是我们的首要任务，因为中国现在提出购买我们所有的液化天然气和其他资源产品，以及鱼、原木和其他商品。”他指出，“中国有能力购买我们所有的商品，这一点在我们之间的多次讨论中都有表述。一些国有企业已表示有兴趣为一些贸易委员会提供资金。”玛卢还表示，国际贸易和投资部将很快发布广告，招聘所有8个贸易代表团的贸易专员职位。“该部门正在寻找素质非常高的巴新人，他们有丰富的商业背景，至少拥有硕士学位，有很强的学术背景和工作经验，能够与企业界合作，推动巴新的贸易议程，确保出口市场和吸引外国直接投资。”,,617,其他,巴布亚新几内亚 中国 澳大利亚 泰国 印尼 欧盟 阿联酋 菲律宾 新加坡,贸易 中国 巴新 委员会 投资 ,巴新国际贸易和投资部,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228857&idx=3&sn=b1f2a0d49b5bd8c60872949064d0daf6&chksm=bef6db0f898152190d2fc3e009e2edda1b6ea0256589672244da96b263119064d631fbea4e0d#rd,1683278803
",2023.5.3
15,太平洋地区组织与该国签了价值千万元的气候合同,【南太之声编译报道】太平洋共同体（SPC）近日和新西兰签署了一项新协议，以促进太平洋地区的气候行动。太平洋共同体官网24日报道，新西兰副总理塞普洛尼（Carmel Sepuloni）在宣布这一新的伙伴关系时表示:“面对气候变化对我们地区不断升级的影响，我们必须团结起来，加快行动，在世界上最脆弱的地区之一提升复原力。这就是为什么新西兰承诺向SPC的气候变化旗舰计划提供3000万新西兰元（约合1840万美元），以扩大和加强其在蓝色太平洋大陆的气候工作。”SPC气候变化和环境可持续性主任帕斯丝（Coral Pasisi）说：“SPC的气候变化旗舰计划将支持太平洋岛屿国家和地区加强其可持续气候行动的努力。旗舰计划采用循证的决策方法，集中服务和能力帮助这些国家实现其低碳和气候适应型可持续发展目标。气候变化旗舰计划将为太平洋国家和地区提供更多的气候融资渠道。它还将提供综合能力和改进的数据，以支持气候行动。”SPC波利尼西亚区域主任塔戈（Leituala Kuiniselani Toelupe Tago）感谢新西兰对SPC旗舰气候变化计划的重大投资。,,475,其他,新西兰 波利尼西亚,气候 太平洋 地区 SPC 变化 ,太平洋共同体（SPC）,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228818&idx=4&sn=268439de57e31adabb7ea47d3d43060d&chksm=bef6db2489815232ea80514060fc56546d156baa15f59289e15d3c637a01b8569f7c68cb21b3#rd,1682890995
",2023.4.29
17,太平洋运动会加速筹备中 澳大利亚援助引发多重质疑,【南太之声编译报道】Devpolicy Blog21日援引澳大利亚国立大学克劳福德公共政策学院发展政策中心主任、经济学教授豪斯（Stephen Howes）刊发在洛伊国际政策研究所的文章。文章摘编如下：2023年太平洋运动会将于今年年底在所罗门群岛举行。澳大利亚国际发展和太平洋事务部长康罗伊（Pat Conroy）在2022年8月访问霍尼亚拉期间宣布，澳大利亚将为运动会提供1700万澳元的支持。这花了三个月的时间，澳大利亚外交贸易部最终在回答2022年11月参议院预算听证会上确认，1700万澳元将从澳大利亚对所罗门群岛的双边援助预算（预计2022至2023财年为1.03亿澳元）中提取。具体援助资金包括：·所罗门群岛运动会组委会5个职位和所罗门群岛国家体育委员会2个职位；·整修霍尼亚拉6所学校的宿舍，供来访的运动员和官员住宿；·为所罗门群岛国家体育学院提供运动器材，以协助所罗门群岛运动员；·设置临时海洋中心，将用作开放水上运动项目的场地。将超过16%的双边援助和超过10%的澳大利亚对所罗门群岛总援助分配给太平洋运动会的决定引发了几个问题。首先，它违反了官方援助或官方发展援助（ODA）规则。ODA“规则手册”的相关章节——经合组织发展援助委员会的统计指令（2021年）指出，“艺术、音乐和体育赛事”的支出应被排除在外。外交贸易部办公室告诉我，“根据经合组织发展援助委员会的指导方针对资金进行了官方发展援助资格评估，符合本办公室的要求”。以下是外交贸易部提供的理由，说明为什么这种援助符合ODA条件:这笔资金将用于一些活动，这些活动不仅有利于运动会，还将带来长期的社会发展效益，包括为所罗门群岛的年轻人带来好处。不幸的是——尽管外交贸易部缺乏援助透明度，我无法获得澳大利亚具体援助的细节（这并不奇怪），但在我看来，翻修宿舍和提供运动器材可以被接纳为符合ODA，但考虑到时间，组织职位和设置临时海洋中心显然不符合条件。鉴于澳大利亚政府对基于规则的国际秩序的重视，这种做法被视为遵守经合组织的援助规则，也符合澳大利亚的利益。接下来是优先事项的问题。外交贸易部也在这一点上做出了回应，指出这笔资金是应霍尼亚拉的直接请求提供的，并说“澳大利亚支持太平洋运动会，因为它是所罗门群岛的优先事项，也是太平洋大家庭的重要活动”。但在所罗门群岛和太平洋以外也有大量和迫切的需要。世界粮食计划署近日表示，它将不得不将生活在孟加拉国难民营的100万罗兴亚难民的口粮从每人每月12美元减少到每人每月10美元。澳大利亚人将向太平洋运动会提供的1700万澳元本可以帮助100万难民避免8个月的口粮削减。,,1092,其他,澳大利亚 所罗门群岛 霍尼亚拉 经合组织 孟加拉国,援助 澳大利亚 所罗门 群岛 太平洋 ,组织或计划经合组织发展援助委员会 世界粮食计划署 洛伊国际政策研究所 太平洋运动会 所罗门群岛国家体育委员会 所罗门群岛国家体育学院。,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228818&idx=6&sn=03f54646534738ebd4112356276bb9a2&chksm=bef6db24898152326e38641310fd700adf5f8dbb09c8dce2e62164e0f8064a0c6133768c9c8f#rd,1682890995
",2023.4.27
20,第187届海洋与气候在线论坛召开 继续关注厄尔尼诺现象,【南太之声编译报道】近日，在瓦努阿图召开的第187届海洋与气候在线论坛(OCOF)上，厄尔尼诺-南方涛动(ENSO)的现状是讨论议程上的主题之一。太平洋区域环境规划署网18日报道，澳大利亚气象局证实，虽然他们发布了厄尔尼诺观察，但目前的ENSO状态仍然是中性的，这意味着它既不是拉尼娜也不是厄尔尼诺。然而，该局正在观察一些指标，这些指标表明厄尔尼诺现象可能会发展，有50%的几率会在2023年年中发生。太平洋地区在过去三年经历了拉尼娜现象。当被问及这是否是一种异常现象时，澳大利亚气象局的比尔德（Grant Beard）说，这并不一定是一种异常现象。“随着气候变化，我们将看到厄尔尼诺等现象的影响在整个地区被放大。在厄尔尼诺期间通常干燥的地区将变得更加干燥，更容易受到干旱的影响。”该国气象局会密切留意有关情况及其发展，并会在每月的OCOF以及将于今年4月及10月举行的太平洋岛屿气候展望论坛期间，向太平洋气象局通报有关情况。OCOF为太平洋地区的各国气象服务局提供一个平台，利用不同的预报平台进行季节预报。这项功能过去主要由太平洋以外的机构完成，例如新西兰国家水和大气研究所、澳大利亚气象局和美国国家海洋和大气管理局。OCOF由太平洋区域环境规划署在每月第三周举行。12个太平洋岛国参加了会议，并得到了气象局和太平洋共同体(SPC)的支持。,,571,其他,澳大利亚 新西兰 瓦努阿图 美国,太平洋 厄尔尼诺 现象 气象局 气候 ,太平洋区域环境规划署 澳大利亚气象局 新西兰国家水和大气研究所 美国国家海洋和大气管理局 太平洋共同体,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228791&idx=3&sn=5e511ba35e023cbe892ec167df25c08e&chksm=bef6d8c1898151d78ff43c1b23b3de9aa732a30c6296654712423f0f56988453c9af1c98ef8f#rd,1682667165
",2023.4.25
21,瓦国开发的首个监测岛国气候变化的APP上线,【南太之声编译报道】瓦努阿图目前正在测试一项突破性的应用程序（APP）——瓦努阿图气候观察（Vanuatu Climate Watch APP），希望为太平洋岛国面临的数据收集挑战提供解决方案，特别是关于物种以及它们如何与气候相互作用，如何成为气候的传统知识指标。太平洋区域环境秘书处（SPREP）网站18日报道，瓦努阿图的VanKIRAP项目与澳大利亚地球观察组织、澳大利亚气象局和太平洋气候与海洋支持计划（COSPPac）合作，开发了一款移动应用程序，作为应对这些挑战的潜在解决方案。在维拉港举行的咨询研讨会上，来自澳大利亚气象局的钱伯斯（Lynda Chambers）向瓦努阿图气象和地质灾害部门以及其他政府部门（如保护和林业部）的与会者介绍了这款应用程序。该应用程序的用户将能够通过上传他们遇到的物种的照片来进行观察，这些照片已经被编入应用程序中，并定位照片的拍摄地点。这款APP也是一项公民科学倡议，这意味着它以一种有意义的方式让公众与社区参与进来，从而以更低的成本在更多的地点收集更多的数据。APP将具备离线功能，这样人们仍然可以在很少有或没有信号覆盖的地区记录他们的观察结果。他们的记录将被保存下来，一旦他们到达有信号的地区，这些观察结果将上传。瓦努阿图环境保护和自然保护部主任提沃克（Touasi Tiwok）对这一举措表示赞赏，称该应用程序将极大地帮助瓦努阿图做好应对自然灾害的准备。瓦努阿图气候观察APP将可在苹果和安卓手机上下载，目前有英文版本，并计划开发比斯拉马语（瓦国官方语言之一）版本。,,657,其他,瓦努阿图 澳大利亚 太平洋区域,瓦努阿图 气候 APP 应用 程序 ,SPREP，VanKIRAP项目，澳大利亚地球观察组织，澳大利亚气象局，COSPPac，联合国,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228791&idx=4&sn=e8f118be31af6e7776e75b8c32285e53&chksm=bef6d8c1898151d748765853c603db1cc115fce9d295ccab332de15c24876f07bce4c8e7d838#rd,1682667165
",2023.4.23
23,“正经历30年来最具挑战的时刻” 巴新将实施13年预算修复计划,【南太之声编译报道】巴布亚新几内亚财长斯塔基（Ian Ling-Stuckey）近日表示，巴新目前坚持量入为出的政策，政府有一个为期13年的预算修复计划。巴新《国民报》18日报道，斯塔基说：“现实是政府正在经历几十年来最具挑战性的经济时期，我们每年减少10亿基那（约合2.84亿美元）的预算赤字，并有望在2027年实现预算盈余，这将是我们停止承担新债务的时候。然后，我们可以选择在2034年前偿还所有债务，包括国际货币基金组织的所有贷款和其他双边支持（的贷款）。斯塔基指出，“这个预算计划是负责任的。所有国际专家均表示，如果我们坚持13年的预算修复计划，我们的债务水平是可持续的。制定这样一个明智而全面的计划，是巴新经济管理改善的又一迹象。呼吁国际社会支持以可持续和负责任的方式实施该计划是经济管理得到改善的另一迹象。他补充说：“世界银行认为，2020年和2023年是过去30年中全球经济发展最糟糕三年中的两个年份。我们在准备2023年预算案时就预料到了全球经济低迷的影响。但没有提到的是，最新预测巴新国内生产总值的增长为3.7%，是世界银行估计的全球平均水平1.7%的两倍多。”斯塔基表示，政府理解家庭面临的生活成本压力。“我们通过削减燃油税、所得税和支付学校项目费用，为家庭提供了11.78亿基那（约合3.35亿美元）的生活费支持。”,,569,其他,巴布亚新几内亚 美国,预算 计划 巴新 经济 斯塔基 ,国际货币基金组织 世界银行,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228791&idx=6&sn=f81a35352c313de2a3343a6e16a15173&chksm=bef6d8c1898151d74dbe1937c2f4984fc42e3ed8e86cb2abd3281ebe735d495eebac0e8061c0#rd,1682667165
",2023.4.23
30,故障排除 南太平洋银行所有服务已恢复,【南太之声编译报道】南太平洋银行金融集团有限公司（BSP）12日表示，银行所有服务已完全恢复。巴新《国民报》报道，该银行在当地时间11日凌晨3时左右向客户发出的短信中表示，所有服务已恢复。“所有BSP银行服务现在都可以使用。正确的账户可用余额现在能显示了，”BSP在消息中说。然而，客户在白天无法访问网上银行服务，这促使BSP发送另一条消息，通知他们该服务不可用。据了解，根据银行的通知，该服务于11日下午晚些时候恢复。BSP10日在一份声明中表示，其手机银行和互联网服务已停止。据BSP称，该银行在复活节周末期间试行了“新银行系统”，期间发生了一个技术错误，导致部分服务中断。BSP告知客户，由于技术错误，部分客户的余额显示错误。该行还补充称，它没有向任何账户扣除或存入任何额外资金，正在解决技术问题。此外，自6日起进行的所有交易均已处理完毕，已透支帐户的客户将被要求向BSP偿还。,,392,其他,巴新 南太,银行 服务 BSP 所有 客户 ,南太平洋银行金融集团有限公司（BSP）,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228732&idx=6&sn=ed64a6693b5f709bbfdb62f606a7f86d&chksm=bef6d88a8981519c3f427cefb33e18c27f16f559ccc7b4c30f86f068fe9019404c42c9a969df#rd,1682238006
",2023.4.16
37,所国：将共享太平洋运动会转播权，而非指定单一公司,【南太之声编译报道】2023年所罗门群岛太平洋运动会的转播权将集中在成员国，而不是单个公司。新西兰RNZ网站11日报道，太平洋运动会理事会秘书长米诺哥（Andrew Minogue）表示，太平洋运动会组委会将制作节目，并让选定的广播公司在各自国家共享。米诺哥透露:“我们基本上确定了一种模式，就像我们在往届运动会上采用的传统模式一样，组委会将在内部把所有内容整合在一起，然后与不同地区的广播公司签约，例如，斐济电视台或法国属地的法国电视台。所以，他们会把所有的资源聚集在一起，然后进行后期转播。他们不会把内容外包给另一家公司，他们会用自己的专业知识来做，因为他们内部有一些非常优秀的人以前做过这类工作。”另外，米诺哥表示:“转播权问题是由理事会决定的。”他们与组委会一起制定转播计划并组织投标过程。“转播权最终归太平洋运动会理事会所有。就像我们拥有运动会一样，我们也拥有转播权，”米诺哥说。他还补充说：“组委会在如何提供东道主转播服务方面提出了一个东道主转播计划，他们将在我们的支持下有效地做到这一点。他们将和东道主转播组织和其他可能为制作做出贡献的地区广播公司签发合同。”,,487,其他,新西兰  法国,运动会 公司 太平洋 转播权 转播 ,所罗门群岛太平洋运动会理事会,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228664&idx=1&sn=6f42baf7e3ac52f1acd052bfa0d0b52b&chksm=bef6d84e898151587182e11c23a7491328fb19793f5ca404cd42997a53d6e6e43e8c698c1ba7#rd,1681973309
",2023.4.9
45,向净零过渡就看这十年？世界气象组织发话了,【南太之声编译报道】世界气象组织（WMO）3日表示，全球向可再生能源的过渡将需要在综合天气和气候服务方面加大投资。太平洋岛屿新闻协会网报道，WMO表示，这一投资至关重要，包括确保能源基础设施能够抵御与气候相关的冲击，并能利用太阳能和风能等所产生的能源进行发电。在这方面，该组织正在加紧开展活动，推广有针对性的天气和气候信息及预报，以支持到2050年前从污染严重的化石燃料转向“绿色”能源。最近的一份出版物包含了全球综合天气和气候服务的指导方针和最佳范例。气象组织秘书长塔拉斯（Petteri Taalas）指出，“它为能源向净零过渡的关键十年提供了及时的支持。”他补充说:“通过使WMO成员及其国家气象和水文部门，以及能源部门公司和从业人员能够提供和使用综合天气和气候服务，可以及时有效地实现人人享有清洁和可持续能源的国家战略。”该出版物汇集了近50位作者的专业知识，由WMO综合能源服务研究小组协调。WMO指出，政府间气候变化专门委员会（IPCC）?最近报告称，过去十年比12.5万年前以来的任何时期都要温暖，而且由于不可持续地使用资源，全球温室气体排放量在上个世纪继续增加。该机构表示，约73%的排放是来自能源部门，这强调了“深入而迅速的能源转型”的必要性，并做到既减少排放，也能满足日益增长的能源需求。,,554,其他,Not mentioned,能源 气候 WMO 气象 组织 ,政府间气候变化专门委员会（IPCC）世界气象组织（WMO）,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228621&idx=2&sn=88afd4f195ba909841bb1bd5be8ddd08&chksm=bef6d87b8981516dfd1a484201127000f983743923deaf2d980c5c6e5cbe8f55a1dfdb929ae0#rd,1681463399
",2023.4.5
51,商机遍地但成本高 巴新财长：要攻克这些难关,【南太之声编译报道】巴布亚新几内亚财政部长斯塔基（Ian Ling-Stuckey）近日承认，在巴新做生意的成本很高，“但机会也很多”。巴新《国民报》3月27日报道，斯塔基是在回答媒体关于为什么做生意的成本高，政府能否一次性解决外汇的问题。他说:“巴新的成本确实比许多其他国家高，但机会也多。强大的商业机会意味着可以在支付高成本的同时获得良好的利润。为什么太高了？巴新的地理位置增加了成本。”他指出，“崎岖的山脉、众多的岛屿、强降雨都使道路昂贵且难以维护，使产品难以从农场运往市场，尤其是国际市场。”他补充说：“还有一些问题，比如没有足够的竞争来保持低价。同时一些国有企业效率低下。有时候，政府试图去做一些最好留给私营部门的事情。另外还有腐败问题。政府正在努力解决这些问题。”他说，最新的商业优势100名首席执行官（Business Advantage100CEO）调查显示，企业认为巴新的环境有利于开展业务。“从他们对利润、投资和更多就业的乐观前景来看，这一点非常明显。企业最终都是为了盈利，对许多人来说，是为了支持更广泛的社区。”斯塔基表示，政府正在努力寻找解决外汇短缺的长期方案。企业表示，外汇短缺是在巴新开展业务的最大障碍。（周晓编译）,,522,其他,巴布亚新几内亚,巴新 成本 政府 问题 企业 ,联合国 亚太经合组织 世界贸易组织 世界银行 国际货币基金组织。,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228581&idx=3&sn=e9fb36e6c6aa5971530dbf8eba995cd4&chksm=bef6d81389815105e1566f09e41efbc785216ca4e26f3ef8decf6114e20f722e6b82d1cc1109#rd,1680935078
",2023.4.1
70,天然气不能停！未来20年，巴新经济就靠它了,【南太之声编译报道】巴布亚新几内亚石油和能源部长库阿（Kerenga Kua）近日表示，巴新液化天然气项目将在未来20至25年的生产周期中带来750亿基那（约合213.04亿美元）的收入。巴新《国民报》13日报道，库阿表示，宣布启动前端工程设计（Feed）对苦苦挣扎的巴新经济来说是个好消息。“我们还没有颁发开发许可证，但我们会的，我们需要巴新民众和所有利益相关者的支持。”他继续指出，“巴新及其利益相关者将能够在整个项目的生产周期中获得大约750亿基那，这是一大笔钱。”他强调，“该项目预计将在20至25年内产生效益，届时我们将从该项目中获得巨大收益。你可以把它分摊到20年，期间你会看到我们每年会获得多少收益。这些收益包括国家获得的，通过Kumul石油控股有限公司（KPHL）获得的，以及国家直接征收的，土地所有者的特许权使用费，省级政府的，我们所有人的加在一起，将在未来20年左右的时间里收集和共享。”据了解，开发项目的预计成本（或资本支出）为100亿美元，预计在项目生产周期内产生的成本毛收入约为618亿美元。合资企业和国家的项目现金流净额分别为225亿美元和64亿美元。,,490,其他,巴布亚新几内亚 美国,项目 巴新 美元 获得 未来 ,Kumul石油控股有限公司（KPHL）,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228510&idx=4&sn=5d9a8b97072e8a145cedf35c82438e69&chksm=bef6d9e8898150fe50f10f19ed4f5b89d6756c08b34dc1f35c2e0b9fd29c3523465ca26c73ba#rd,1680258645
",2023.3.21
71,继续增加内阁成员名额！巴新官方又发话了,【南太之声编译报道】巴布亚新几内亚政府在从14日开始的为期两周的议会会议上，通过修改《2002年总理及国家行政委员会法》以扩大现有33名内阁成员的规模。巴新《国民报》报道，政府事务负责人佩塔（Rainbo Paita）表示，议会的主要议程包括对《监察员委员会法案》的讨论和对《总理和国家行政委员会法》的修正。议会还于15日为总督达达埃爵士（Sir Bob Dadae）举行连任宣誓仪式。另外，佩塔表示总理马拉佩（Marape）已经指示所有部长提交所在部门或机构的年度报告。因此，预计会有很多部长声明。他说，财长斯塔基（Ian Ling-Stuckey）预计将发表“经济状况”讲话，其中包括关于Puma能源公司和巴新银行问题的最新进展。他说:“其他部长也将发表声明，说明他们的机构和部门在过去一年的表现，以便向议会和全国通报情况。”此外，佩塔表示，增加内阁人量是由于工作量的增加。,,389,其他,巴布亚新几内亚 新几内亚,议会 增加 内阁 巴新 总理 ,联合国 亚太经合组织 世界银行 国际货币基金组织 世界贸易组织 联合国开发计划署 联合国教科文组织 联合国粮食及农业组织 联合国环境规划署 联合国难民署 联合国儿童基金会 联合国人口基金会 联合国犯罪及司法署 联合国经济及社会理事会 联合国人权理事会 联合国安全理事会 联合国教育 科学及文化组织 联合国贸易及发展会议 联合国工业发展组织 联合国粮农组织 联合国经济及社会文化组织 联合国贸易及发展会议 联合国经济及社会理事会 联合国人权理事会 联合国安全理事会 联合国教育 科学及文化组织 联合国贸易及发展会议 联合国工业发展组织 联合国粮农组织 联合国经济及社会文化组织 联合国贸易及发展会议 联合国经济及社会理事会 联合国人权理事会 联合国安全理事会 联合国教育 科学及文化组织 联合国贸易及发展会议 联合国工业发展组织 联合国粮农组织 联合国经济及社会文化组织 联合国贸易及发展会议 联合国经济及社会理事会 联合国人权理事会 联合国安全理事会 联合国教育 科学及文化组织 联合国贸易及发展会议 联合国工业发展组织 联,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228510&idx=5&sn=1a8d1f46ed8dc2fc1c3e08361b421c4a&chksm=bef6d9e8898150fe90af7affc172a9db39814ce5b08e32d8863e4b9544d1d3c95051e2203e88#rd,1680258645
",2023.3.20
