,Title,Context,Length,Category,Countries mentioned,Top5-Hot-Words,Organizations,Release Date,Unnamed: 0,URL
153,太平洋地区最佳机场跑道在哪？就在所罗门群岛,【南太之声编译报道】所罗门群岛西部省的努萨图佩（Nusatupe）机场跑道近日因其美丽的环境而被称为太平洋地区最佳。《所罗门星报》17日报道，珊瑚海基金会（Coral Sea Foundation）在网上发帖称，该机场是“南太平洋最好的飞机场！”该基金会还称，“所罗门群岛西部省吉佐岛海岸外的努萨图佩。飞到这里来，毫无疑问，你已经到了珊瑚三角区!”珊瑚海基金会有限公司是一家澳大利亚非营利性公司。该公司的目标是加强珊瑚海三角区的自然环境。所罗门群岛也是珊瑚大三角倡议（CTI）的成员。努萨图佩跑道是该国最繁忙的机场跑道之一，因为它每天都有来自首都霍尼亚拉的航班，送当地人和海外的客人来度假。随着西部省成为全国最热门的旅游目的地之一，有越来越多的海外休闲游客乘坐飞机和船只前往。游客通常到该省进行水肺潜水，享受当地的文化娱乐、品尝海鲜，并欣赏和感受岛上的自然美景和淳朴民风。（周晓编译）,392,旅游,所罗门群岛 澳大利亚 霍尼亚拉,所罗门 机场 跑道 群岛 珊瑚 ,答珊瑚海基金会（CoralSeaFoundation） 珊瑚大三角倡议（CTI）,2023.1.15,212,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227759&idx=8&sn=fda46b12962836da5c2cf0fc565c1a98&chksm=bef6dcd9898155cf1640709c68ff9b1cc0d003978433a23ff85475f88616e20b9079c7aae72b#rd
161,澳航空专家抵达瓦努阿图 助当地航空公司脱离困境,（图片来源：新西兰RNZ网站）【南太之声编译报道】一支由澳洲航空专家组成的团队于当地时间11日下午抵达瓦努阿图维拉港，帮助瓦努阿图国家航空公司脱离困境。新西兰RNZ网站11日报道，瓦努阿图国家航空公司的消息人士表示，团队已根据瓦国总理卡尔萨考（Ishmael Kalsakau）的要求进行快速评估。评估有两个阶段，最多可能需要45天。据悉，他们将在第一阶段研究航空公司的财务状况，人员配备水平以及使用飞机的适用性。第二阶段将考虑即时选择，以提高员工的道德水平并提高计划的可靠性。瓦努阿图国家航空公司的新董事会还向国际金融公司（International Finance Corporation）请求帮助。去年，国际金融公司进行了一项研究和对航空公司的评估，但是其提出的建议没有被实施。卡尔萨考在去年的选举中获胜后，在首次讲话中提到瓦努阿图国家航空公司陷入困境一事，指责其管理不良和腐败的做法，随后更换了董事会成员。（罗伊编译）,413,旅游,澳大利亚 新西兰 瓦努阿图,航空 公司 瓦努阿图 国家 困境 ,国际金融公司,2023.1.10,221,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227700&idx=4&sn=7f42632f58fad7c0a1e9c63994c09dab&chksm=bef6dc8289815594286a53eb98a7455a0189a78142bf5c6de39b7641716fc9a6673a0e351538#rd
162,合影一次500瓦图！瓦国青年为维持生计靠蜥蜴创业,图为游客与蜥蜴合影。（图/《瓦国日报》网站截图）【南太之声编译报道】两名来自瓦努阿图安巴岛（Ambae）的年轻人被称为“蜥蜴男孩”，他们近日在游客参观维拉港时通过宠物蜥蜴赚钱。《瓦国日报》7日报道，首都民众称他们为“蜥蜴男孩”，因为每次游客来的时候，都会带着他们的蜥蜴一起来。两名年轻人的名字是维拉（Vira）和菲利（Filly）。菲利说，他靠他的四只宠物蜥蜴赚钱。他说，他的平均收入为1万到2万瓦图（约合85.53美元），这取决于城里游客的数量。每次有游客想和他的蜥蜴合影时，他都会收取500瓦图（约合4.28美元）的费用。菲利称，他从马拉波亚庄园（Malapoa Estate）那里买了四只蜥蜴来创业。他说：“维拉港的生活成本变得非常昂贵，尤其是对那些发现很难找到工作的年轻人来说，因此每个人都在寻找生存的方法。”在新冠疫情暴发后，维拉港周围出现了更多为道路小贩提供的避难所。越来越多的小贩也在出售和运送包装好的熟食。据悉，虽然瓦努阿图重新开放了国际边界，经济活动也在逐渐恢复，但许多人仍在努力维持生计。（周晓编译）,460,旅游,瓦努阿图,蜥蜴 游客 合影 瓦国 年轻人 ,答瓦努阿图安巴岛（Ambae）,2023.1.10,222,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227700&idx=5&sn=afe13097faa02efcb867a04bce84c38b&chksm=bef6dc8289815594847a7d73d184b92575d67e0c7fdcb608a4df832cfa2f34c9d7e93d5271d8#rd
169,飞行员辞职、乘客“吐槽”…… 瓦努阿图航空陷入困境,图为瓦航的波音737-800飞机。（图/《瓦国日报》网页截图）多名飞行员离职《瓦国日报》2022年12月30日报道，瓦航董事会发布的一份声明显示，迄今为止，已有9名飞行员离开公司。其中，一些已经辞职并离开公司的飞行员列举的原因包括遭到威胁、担忧被忽视和不健康的工作环境。一名前飞行员表示，他辞职的主要原因是他厌倦了与管理层和CEO菲诺（Atu Finau）就他提出的某些担忧进行“扯皮”。管理层和首席执行官从未倾听过飞行员提出的问题，也从未作出回应。他声称管理层经常给予他们非常不公平的待遇。“他们允许一些飞行员休假，却拒绝给我们中的一些人休假。此外，该航空公司没有一个合适的发展计划，这就是它面临所有这些问题的原因。”另一位在瓦航工作了超过15年的前飞行员提到，其他飞行员经常害怕提出他们的担忧，因为他们害怕被解雇或受到威胁。丹尼尔说，目前该公司只剩下31名飞行员，而运营所需的飞行员数量是37名。“这太少了，而这是国际和国内航班飞行员的总数。”乘客抱怨航班被取消由于缺少飞行员和飞机，一些乘客的航班近日被取消了。一位乘客抱怨，瓦航应该提前通知他们航班取消的消息。她说:“我们花光了所有的钱，以为我们今天就能回到岛上，现在我们没有足够的钱留在维拉港，因为物价很昂贵。我们让机场的工作人员为我们支付回家的车费，但他们让我们联系总部。我们给他们打过电话，但没有得到积极回应。”瓦航CEO：合同尚未终止针对社交媒体上流传的有关被终止合同的说法，菲诺进行了驳斥。他在接受采访时表示，到目前为止，他还没有收到任何关于终止合同的消息，这一决定将在法庭上面临挑战，因为他的合同将于2023年11月到期。新董事会致力于解决挑战2022年底，瓦航新一届董事会上任，致力于解决面临的挑战。董事会主席丹尼尔（Willie Daniel）表示:“我们现在的主要任务是确保与技术团队和管理层密切合作，并寻求航空专家的专业建议，帮助我们引导瓦航公司摆脱困境。”他说，董事会也热切希望看到这家国家航空公司在区域航空领域重新获得地位。与此同时，反对党领袖拉夫曼（Bob Loughman）敦促政府提供进一步的财政支持，以确保该航司达到其标准，不会让民众失望。政府应该为瓦航公司投资更多的钱，这样这家航空公司才能成功，因为瓦努阿图一直被标榜为世界上最幸福的地方。（萨琳编译）,971,旅游,瓦努阿图,飞行员 瓦航 公司 航空 董事会 ,瓦努阿图航空,2023.1.5,233,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227640&idx=7&sn=64b2ae3199dbd4278e51cb7242adae12&chksm=bef6dc4e898155585c1d7861aabb9e813784cf733ea43ec6d0dc52ccddd3fb6fe75cc7890d52#rd
170,元旦起重开边境 美属萨摩亚欢迎游轮回归,从元旦（1月1日）开始，美属萨摩亚将欢迎游轮入境。新西兰RNZ 28日报道，在本月早些时候的新冠疫情特别工作组会议上，有消息称政府正在准备一份声明，正式宣布重新开放。前任政府对领土实施了旅行限制，这种限制一直延续到现在的莱马努政府，后者在过去几周开始取消限制。特别工作组会议的议程之一是美属萨摩亚是否准备好迎接游轮回归。卫生部长努阿（Motusa Tuileama Nua）说，明年1月1日是游轮入境的好日子。美属萨摩亚旅游局执行主任米妮（Taimalelagi Minnie）表示，明年将有18艘游轮计划到访。米妮对卫生部的支持表示感谢，宣布边境将于2023年1月1日重新对游轮开放。她说，供应商已经准备好了，“我们也准备好了。”她补充说：“美属萨摩亚是该地区最后一个对游轮开放的司法管辖区，该行业需要政府正式宣布美属萨摩亚将重新对游轮开放。”（周晓编译）,379,旅游,新西兰 美属萨摩亚,游轮 美属萨摩亚 政府 准备 开放 ,美属萨摩亚,2023.1.1,236,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227563&idx=1&sn=e144cf309c6442285e55812d1149e5fa&chksm=bef6dc1d8981550b52f4011ffa0acb8bdd30d752241ff129c0c6ea89005f85353338a7cb8428#rd
172,瑙鲁航空：年后澳大利亚与五岛国航班将增加至每周一班,瑙鲁航空公司（Nauru Airlines）在两个月前恢复了澳大利亚与5个中太平洋国家之间的航班服务后，于近日宣布，从明年1月的第一周开始，将航班班次提高到每周一班。新西兰RNZ 29日报道，自10月恢复正常服务以来，该航班一直是每两周一班。据悉，瑙鲁航空公司已经恢复了连接澳洲布里斯班与所罗门群岛首都霍尼亚拉、瑙鲁、基里巴斯塔拉瓦、马绍尔群岛马朱罗和密克罗尼西亚联邦波纳佩的唯一航线。据该航空公司称，除了改为每周一次的航班外，还将从目前的周日抵达改为周四至周五抵达。从明年1月5日起，该航空服务将连接布里斯班和这5个国家，并在周五沿同一航线返回。这项航空服务最初得到了澳大利亚政府的支持，并保证为客货不平衡的航班提供支持。该航空公司最近还任命了一位新的首席执行官格伯斯（Brett Gebers），他此前曾有负责管理所罗门航空公司的经验。,370,旅游,澳大利亚 所罗门群岛 瑙鲁 基里巴斯塔拉瓦 马绍尔群岛 密克罗尼西亚联邦,航空 航班 公司 瑙鲁 服务 ,答澳大利亚政府 所罗门航空公司 密克罗尼西亚联邦,2022.12.29,238,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227563&idx=3&sn=1623bfa18cecee5fdc21aecc549b128b&chksm=bef6dc1d8981550b30e59330332bd09a027b422f2bd746ecb388bd764adcdee1e75fa43de9c6#rd
180,不再出现独家代理！瓦国内政部称在修改永居签证相关条款,共有14名永久居留权（PR）计划的代理商近日致函瓦国内政部长埃米利（Christophe Emelee），向他发出最后通牒，要求他在14天内重新考虑终止合同的决定，否则将面临法庭诉讼。《瓦国日报》24日报道，其中一家代理商表示，他们已于12月16日递交了信件，最后通牒将于12月28日失效。他说，他们已就部长代表政府指定太平洋之星顾问瓦努阿图有限公司（PSCVL）作为永居权项目独家代理的决定提出质疑。该代理商称，与PSCVL一样，所有14家代理商都在2020年签署了一份为期10年的合同。作为对代理商信件的回应，20日，埃米利发布通知表示不再有任何地区的独家代理。他指出，“从本通知起，没有任何唯一代理商成为任何地区的代理，所有代理商可以自由地收集和提交来自所有地区的申请，从本通知起，内政部已指示移民局不要执行2022年移民签证条例第214号修订令，即授予PSCVL独家代理权。任何被发现违反上述条款的代理商都将受到相应的警告。如果该代理商在警告后继续违反上述条款，政府将采取适当的措施处理代理商。所有永居权代理公司都被告知，在2023年3月20日之前，应在上述条件下继续正常经营。”与此同时，埃米利在通知中还表示，内政部正在修改PR签证计划，并制定新的条款和条件。,535,旅游,瓦国,代理商 代理 独家 条款 所有 ,瓦国内政部,2022.12.23,247,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227529&idx=6&sn=76855bf7b218aec2e0c1cc4fa11f7092&chksm=bef6dc3f89815529758394e5dc230b0890910ba2666a9f51200b21a121ba0977cca9e3a73215#rd
182,一期工程由中企建设！瓦国南桑托岛终于迎来新公路,经过几十年的等待和对糟糕道路的不满之后，瓦努阿图南桑托岛民众近日将通过世界银行的财政援助拥有永久性的道路基础设施。《瓦国日报》报道，12月24日，瓦努阿图政府与中标的中国土木工程集团有限公司（CCECC）签署了该项目的第一部分建设工程书。CCECC总经理青·利亚姆（Liam Qing，音译）表示，瓦努阿图气候适应性交通项目包括南桑托岛的桥梁。他说，工程范围将包括11座新建桥梁、2座箱涵和3座修复桥梁。利亚姆说，包括桥梁建设在内的第一个项目的总成本超过50亿瓦图（约合5876.5万美元），这是从南桑托岛的Saint Michel到Tassiriki村的130亿瓦图（约合1.53亿美元）公路项目的一部分。这130亿瓦图的一部分是来自世界银行的50%赠款和50%贷款。第一期工程预计将于明年3月开始，为期两年。南桑托岛公路项目全长约66公里。来自南桑托岛的桑马省政府理事会（SPGC）财务主管马克（Leon Marc）表示，该项目是一个里程碑式的进展。这对桑托岛南部地区很重要，因为这里有椰子树、可可和卡瓦。但由于路况不好，他们要花几个小时才能把产品运到卢甘维尔（Luganville）。这条公路将成为渔业和农产品运输到卢甘维尔市场的重要纽带，也是卫生、教育、社会服务和旅游的重要通道。（周晓编译）,550,旅游,瓦努阿图 中国,南桑托岛 项目 工程 公路 桥梁 ,世界银行 中国土木工程集团有限公司（CCECC） 瓦努阿图政府 桑马省政府理事会（SPGC）,2022.12.22,249,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227529&idx=8&sn=007de8eae15fc489dead1c79a33a52b3&chksm=bef6dc3f8981552979866be48db18c334ed112972adced249f911867ed5cec870abcf6920a8b#rd
199,安全不能忽视！所罗门发布节日出行必备指南,所罗门群岛皇家警察部队（RSIPF）近日呼吁所有计划乘船和船外机（船尾外装发动机，OBM）旅行的民众，在返回家乡岛屿庆祝2022年圣诞节和新年时注意海上安全。《所罗门星报》11日报道，载客的船只和OBM运输船在离港前必须符合所有安全要求。旅行前，请妥善规划行程。以下是旅行前需要注意的安全事项：-计划好你的旅行，至少让家人知道你要去哪里，预计什么时间到达；-在所罗门群岛广播公司（SIBC）上查询天气情况或拨打免费电话933、36310或24219；-如果你开始旅行时天气变糟，请寻找避风处，直到海面平静；-确保您的船只适航，并确保您的OBM是经过维修和保养的；-了解你的船长。确保他们有驾驶船只的经验；-不要让船超载；-穿救生衣。携带食物和水、船桨、急救箱、锚和绳子、向他人发出信号的镜子、工具、水桶、手电筒、电话、照明弹和卫星紧急无线电示位标（EPIRB）；-携带额外燃料;-如果你的船长喝醉了，不要和他们一起去，也不要让他们控制船；以及-如在海上需要帮助，请拨打海上救援协调中心（MRCC）的电话21609或27685，或免费电话977；或拨打RSIPF国家通讯中心的电话23666或免费电话999。在节日期间，RSIPF的官员进行了多项警察行动。全国范围内的行动将集中在交通方面，以制止酒后驾驶、反社会行为（包括造成滋扰和噪音）、基于性别的暴力以及在水域的安全旅行。,587,旅游,所罗门群岛,旅行 电话 安全 所罗门 RSIPF ,所罗门群岛皇家警察部队（RSIPF） 所罗门广播公司（SIBC） 海上救援协调中心（MRCC）,2022.12.13,269,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227383&idx=1&sn=1ef9d55f41abb22fa4f5f7dc8ced6da4&chksm=bef6dd4189815457b68b6ad6e0901ba3aae1cd9ff11fe7a68953581624211ea911d1d971a251#rd
204,成太平洋唯一幸免地区！托克劳为阻断疫情继续关闭边境,托克劳卫生官员15日表示，托克劳没有自满的余地，尽管该国迄今为止躲过了新冠肺炎疫情。新西兰RNZ报道，世界卫生组织（WHO）的一位发言人说，托克劳是太平洋唯一没有任何病例记录的地区。世卫组织驻萨摩亚的托克劳发言人迪克森（Kim Eva Dickson）说，托克劳政府已采取措施为应对疫情做好准备，包括大力开展疫苗接种运动、全面检测和边境管制。大约93%的5岁及以上符合条件的托克劳已完全接种疫苗。所有医护人员、老年人和弱势人群都已全面接种疫苗，并接种了第一剂加强针。托克劳的边境仍然关闭。迪克森说，这种做法值得称赞，使该国有时间完成疫苗接种运动。三个环礁中的其中两个环礁有两名医生，而在托克劳全国共有近40名医护人员。迪克森说，新西兰外交贸易部（MFAT）提供了支持，还帮助托克劳采取了疫情防范措施。我们将继续敦促托克劳和所有太平洋岛屿国家和地区保持警惕，加强疫情监测，并准备在任何潜在暴发的迹象时迅速作出反应。”,407,旅游,新西兰 托克劳 ,托克劳 疫情 接种 疫苗 太平洋 ,世界卫生组织（WHO） 新西兰外交贸易部（MFAT） 亚太计划,2022.12.10,275,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227383&idx=7&sn=02f4279fec30752e5a9f0f424ff88793&chksm=bef6dd4189815457bb3d3c5501a4e1ca00adb0df60a43ac38eaf2f81e1b9f8032570828f8f14#rd
229,瓦努阿图与新喀里多尼亚签署旅游合作伙伴协议,负责瓦努阿图旅游、贸易、商业的部长塞雷迈雅（Matai Seremaiah）近日与新喀里多尼亚旅游局局长、董事会会长福里斯特（Michael Forrest）签署了一项伙伴关系协议。瓦努阿图《瓦国日报》12月3日报道，根据瓦努阿图旅游局的一份声明，该伙伴协议是对两国的国家旅游局进行联合合作、开展有针对性的营销和促销活动的肯定，并更好改善旅游业发展。声明称，“新的伙伴关系有效地为尽快制定联合合作计划铺平了道路，使两国旅游局能够在主要国际客源市场加强合作，开展有针对性的联合营销和促销活动。塞雷迈雅感谢福里斯特为两国在旅游业发展领域建立更紧密的工作关系所做的努力，并补充说，他希望看到两国通过利用旅游业作为促进其他贸易和商业机会的工具，为经济增长获得更多的商业机会而繁荣。对此，福里斯特也对塞雷迈雅和与会政府代表表示感谢。（萨琳编译）,367,旅游,瓦努阿图 新喀里多尼亚,瓦努阿图 合作 伙伴 旅游局 协议 ,瓦努阿图旅游局,2022.12.6,298,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227298&idx=4&sn=6f849984fd796cfe1676667e5b9927d6&chksm=bef6dd1489815402ba290abb101cd59e6c672c0face94b656605a3e4233f2ae9566f6140fa78#rd
234,海外投资者频遭抢劫想离开？瓦国官方：这里仍值得投资,对于任何地方的投资者来说，像抢劫这样的社会问题都伴随着投资风险。此项声明是瓦努阿图外国投资促进委员会（VFIPA）代理首席执行官巴尼（Minnie Bani）近日在维拉港对一名外国投资者的公司被抢劫后发表的。《瓦国日报》2日报道，巴尼说，瓦努阿图不像其他太平洋国家那么危险。巴尼对Tassiriki Trading Haus商店老板布拉德伯恩（Gary Bradburn）表示同情，并希望这些抢劫犯能被绳之以法。据悉，身为外国投资者的Tassiriki Trading Haus商店所有者布拉德伯恩在被抢劫后考虑离开瓦努阿图并关闭商店。但巴尼却表示，在促进投资方面，VFIPA将继续宣传瓦努阿图是一个值得投资的好国家。巴尼指出，总的来说，瓦努阿图对外国投资最具挑战性的问题是气候变化的影响和经营成本，他们正在与其他主要机构合作，寻求解决方案，使投资环境变得更有利，也更具竞争力。,389,旅游,瓦努阿图 太平洋国家,投资 瓦努阿图 巴尼 投资者 抢劫 ,瓦努阿图外国投资促进委员会（VFIPA）,2022.12.3,305,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227296&idx=2&sn=4a73d47229cd7480a0530334e9c3f1be&chksm=bef6dd16898154003bc82f9b2c1909a394c85d4b2698f98b8f9edabc57f1e508527eed1c5b39#rd
236,明年可直飞！库克群岛增开至悉尼和夏威夷航线,库克群岛旅游业委员会近日对政府宣布与两家新航空公司建立合作关系感到高兴，但表示，要到2023年中期才会看到实际好处。新西兰RNZ6日报道，该委员会主席斯科特（Liana Scott）说：“（航班）不仅仅来自一个国家，而是两个。所以我们真的很高兴能通过夏威夷让北美重新回到库克群岛，当然，悉尼很快也会加入。这将使我们这个如此依赖旅游业的小国发生翻天覆地的变化。”政府宣布的航空公司合作伙伴关系包括与夏威夷航空公司在拉罗汤加岛和檀香山之间的直飞航班，该航班将于明年5月开通。同时，从明年6月起，往返于悉尼的直飞航班也将启动。斯科特说，虽然企业需要再等一段时间，但由于航班起飞后现金流有望增加，这会使等待变得更加轻松。“本身没有一个神奇的数字，但我们观察了2019年的数据，包括来自美国和欧洲，以及直接来自悉尼（的数据）。这可能会带来5万多名游客。”她继续说：“计划是将从悉尼出发的航班数量增加至3班，目前将从每周两班开始，如果有足够的需求，他们希望将增加到3班，夏威夷航线也是如此。”库克群岛政府已经拨出1000万新西兰元（约合640万美元）用于承保航班。（周晓编译）,482,旅游,新西兰 美国 欧洲 悉尼 夏威夷,航班 悉尼 库克 群岛 夏威夷 ,新西兰 夏威夷航空公司 拉罗汤加岛 檀香山,2022.12.3,308,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227296&idx=5&sn=9295169c0dc28510b6338a62fb155129&chksm=bef6dd16898154004c3afb8b681476d345a80bc0c504cb498db553443aadb9be86645afcdeea#rd
240,巴新重启落地签 所罗门及MSG成员国公民可办理,巴布亚新几内亚副总理兼劳工和移民代理部长罗索（John Rosso）和首席移民官呼拉华（Stanis Hulahau）近日在莫尔兹比港宣布，所罗门群岛公民和美拉尼西亚先锋集团（MSG）其他国家的公民现在前往巴新时，可以获得落地签。所罗门群岛《所罗门星报》11月24日报道，此前，巴新政府正式宣布重新启动落地签证程序。该程序的重新启动意味着包括所罗门群岛、瓦努阿图、斐济和新喀里多尼亚在内的MSG成员国的公民在抵达莫尔兹比港的杰克逊国际机场时可以获得签证，但不包括MSG的准成员——印度尼西亚和观察员——东帝汶。所罗门群岛驻巴新高级专员索基（William Soaki）表示：“从2022年11月22日开始，MSG成员国公民在前往巴新时可以再次享受落地签证服务。我代表所罗门岛政府感谢巴新政府的这一及时表态。我也借此机会通过巴新国家经济合作委员会感谢巴新政府重启程序。我还向他们保证，通过航空运营商，我们将确保所罗门群岛公民遵守巴新的法律法规，并在旅行前出示疫苗接种卡。”据悉，过去，想去巴新旅游的所罗门群岛人必须在霍尼亚拉办理签证。另外，根据MSG协议，前往斐济和瓦努阿图的所罗门群岛公民也可以在这两个国家获得落地签。（萨琳编译）,515,旅游,所罗门群岛 瓦努阿图  新喀里多尼亚 印度尼西亚 东帝汶 巴布亚新几内亚,巴新 所罗门 公民 群岛 MSG ,所罗门群岛 瓦努阿图 斐济 新喀里多尼亚 MSG 东帝汶 美拉尼西亚先锋集团,2022.12.2,316,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227226&idx=4&sn=fcd02af197b676be15985b447d004814&chksm=bef922ec898eabfa590322985aaf508a973d69af3659207d2bc33d038e59b8bc33732637ffe8#rd
241,假冒商品泛滥，却没法管？斐济等国用上国际经验,太平洋地区的高级海关和知识产权官员近日认识到，他们面临的艰巨任务是打击假冒商品贸易的增长。假冒商品交易在太平洋地区日益泛滥，对所在地区民众的健康和安全构成切实和严重的威胁。太平洋岛屿新闻协会网11月23日援引大洋洲海关组织秘书处官网报道，近日在劳托卡（Lautoka），官员们开会讨论了各种方法，包括更新知识产权法（IPR），以阻止从服装、食品、药品到机械、杀虫剂和电子产品的假冒商品交易。大洋洲海关组织代理主管斯通（Irma daphne Stone）说：“由于造假者从事这一行业的目的是通过欺骗公众购买假货来牟取利益，因此他们会降低投入标准，以降低成本，实现利润最大化。”斯通继续指出，“通过降低这些标准，许多假冒商品对我们消费者的健康和安全构成了重大风险。这些威胁包括缺少重要营养成分或医疗成分的假冒食品和药品，以及由不合格或危险材料制成的重要汽车部件，如刹车片。这些都是真正的威胁。在食品安全方面，对环境有害的假冒农产品可以轻易地摧毁一个国家的产量。我们必须在边境保持高度警惕，防止这些假药进入我们的国家。”从全球趋势来看，制假和伪造活动产生的金融收益也为包括非法毒品贸易在内的其他犯罪活动提供了资金。太平洋地区的海关和知识产权官员面临的挑战包括，在缺乏适当法律的情况下对侵犯知识产权的行为进行监管，以及拥有适当的专业知识来识别边境上的假冒产品。研讨会得到了美国专利商标局（USPTO）和澳大利亚边防局的支持，他们分享了经验和国际上的最佳做法。研讨会的参加者来自澳大利亚、斐济、基里巴斯、瑙鲁、纽埃、帕劳、萨摩亚、所罗门群岛、东帝汶、图瓦卢、汤加和瓦努阿图，以及来自澳大利亚边防局和美国专利商标局的资源专家。（周晓编译）,714,旅游, 基里巴斯 瑙鲁 纽埃 帕劳 萨摩亚 所罗门群岛 东帝汶 图瓦卢 汤加和瓦努阿图,假冒 商品 太平洋 地区 海关 ,美国专利商标局澳大利亚边防局大洋洲海关组织,2022.12.1,317,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227219&idx=1&sn=9ea05e2ae76e4f19e981e00b953724cb&chksm=bef922e5898eabf3c919187b75f0eeb9763c08fed00e6f3189ace6e2a95e180ba1de4afe5ef7#rd
