,Title,Context,Length,Category,Countries mentioned,Top5-Hot-Words,Organizations,Release Date,Unnamed: 0,URL
242,水下奇妙抢先看！所罗门群岛发现新的淡水鱼和对虾,10月，科学家们在所罗门群岛西部省的几个岛屿共发现了4种新的鱼类和2种潜在的新鱼类，以及8种新的记录和2种潜在的新对虾。所罗门群岛《所罗门星报》11月23日报道，位于所罗门群岛西部省吉佐（Gizo）的生态解决方案公司（ESSI）11月初发表的一份声明证实了这一点。这是由位于法国巴黎自然历史博物馆（MNHN）的法国鱼类学会（SFI）和ESSI在最近一次考察中发现的。声明称：“在10月24日的考察结束时，共记录了52种鱼类、22种对虾和6种螃蟹。”报道称，探险队于10月23日至10月31日在西部省的Rendova Island、Tetepare Island和South New Georgia Island的河流上进行勘测活动。该团队由来自MNHN的4名科学家和来自ESSI的两名所罗门群岛生物学家及船员组成。在Tetepare Island，该团队希望能偶遇曾于2006年在Hokata River发现的知名鱼类“面条鱼”。法国鱼类学学会洛德（Clara Lord）表示，尽管无法收集到“面条鱼”，但团队对探险期间的发现非常满意。该团队还想感谢所有的酋长及其社区允许他们进入村庄。在探险活动进行的9天里，该团队十分乐于与不同村庄的人分享成果。Tetepare后裔协会主席丹尼尔（Jack Daniel）说：“我们需要像你们这样的研究人员来我们的岛屿进行研究，发现和记录我们河流中的淡水动物。”这些最新的结果将汇编成所罗门群岛淡水动物群的报告。最近的发现将有助于改进该团队已于2021年出版的淡水鱼书。来自ESSI的波斯托（David Boseto）解释说：“这本书是用英语和混杂语言写的。”据悉，这本书将提高人们对淡水鱼类丰富的生物多样性意识，并意识到原始森林对栖息地和淡水质量所发挥的作用。这本书还将在需要时提供有关保护和管理行动的重要信息，因为书中有关物种的知识，可为当地社区和资源管理人员提供可以随时执行管理行动的指导。（周晓编译）,822,旅游,法国 所罗门群岛,所罗门 发现 群岛 鱼类 团队 ,所罗门群岛生态解决方案公司（ESSI） 法国巴黎自然历史博物馆（MNHN） 法国鱼类学会（SFI） Tetepare后裔协会,2022.12.1,318,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227219&idx=2&sn=368e94f446f1c549de3d78bd50589ffa&chksm=bef922e5898eabf3752625e4aa4c0b3bd2a7b03c90b1b418d09bead4be0fd82a88cdec10e5ba#rd
244,欢迎行走的推荐官！萨摩亚旅游局在宣传上下足功夫,作为萨摩亚旅游局（S.T.A.）将萨摩亚推广为旅游目的地所作广泛努力的一部分，一名新西兰生活方式杂志的编辑近日到访了该国。萨摩亚观察者网11月29日报道，S.T.A.销售和市场经理本特利（Dwayne Bentley）证实了VIVA生活方式杂志副主编的到来，并证实了他们的旅行行程包括去萨瓦伊（Savai'i）的行程。他说：“随着边境对国际游客重新开放，S.T.A.的媒体访问项目重新开始。”本特利还证实，其机构正在接待主流媒体人员，并通过海外游客亲友频道，宣传萨摩亚开放国际边境以来的情况。“从美属萨摩亚、新西兰和澳大利亚（8月1日至2日）出发的首批航班上，媒体（来自主流和V.F.R频道）已经抵达，这是该项目的一部分。”本特利指出，“他们在乌波卢（Upolu）和萨瓦伊都进行了一系列的体验。这与将宣传活动的重点放在主要客源市场（包括新西兰）上的战略保持紧密一致，并通过在付费媒体频道上创建和上传目的地内容，提高品牌知名度，增加萨摩亚在主要目标市场的旅游偏好。”本特利表示，本地旅游运营商在宣传活动期间都提供了很大的帮助。一位运营商说，S.T.A.的工作人员已经把几位推广员带到了南海岸。“我看到很多旅行作家都是和S.T.A.的工作人员一起来的。这是一个好迹象。我希望他们多和本地人交流，感受我们的文化，以及我们与该地区其他国家的特殊之处，因为萨摩亚非常不同。”（周晓编译）,588,旅游,新西兰 美属萨摩亚 澳大利亚 萨摩亚,萨摩亚 S.T.A 宣传 媒体 旅游 ,萨摩亚旅游局（S.T.A.）,2022.11.30,320,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227219&idx=4&sn=6ee508313e11942390c31ccb94fb0bf0&chksm=bef922e5898eabf33ad3dac9baaf62a422b8e6dd217df25aedc7b7c009c7f711d6118581371d#rd
245,获7000万美元援助 太平洋14国合作开发渔业预警APP,14个太平洋岛屿国家近日正在共同研究起草一项独特的申请，以获得来自绿色气候基金（GCF）为渔业适应性提供的7000万美元的拨款。新西兰RNZ11月30日报道，该提案由两部分组成。首先，认识到太平洋人口增长对沿海渔业的负担，并增加金枪鱼的供应，以填补鱼类供应的缺口。第二，在改进的模型基础上开发一个高级预警系统，使太平洋国家能够更好地跟踪预测出的金枪鱼受气候变化影响向东分布的情况。太平洋共同体气候渔业顾问库莫鲁（Ludwig Kumoru）是该提案的支持者之一。他说，在谈到气候影响时，开始跳出思维定式是很重要的。“你知道，我们长期以来一直关注渔业，关注捕鱼对鱼类资源的影响，但现在我们知道气候也在影响鱼类资源。因此，我们必须将其纳入渔业管理的讨论中。”帮助太平洋国家获得绿色气候基金的组织叫做保护国际（Conservation International）。该组织的高级主管贝尔（Johann Bell）说：“GCF将提供总计7000万美元的赠款资金。但我们也期待着大量的共同融资。因此，在7年的时间里，完成这项工作总共需要花费1.2亿美元。其中一半多一点将用于加强14个参与国的鱼类聚集装置计划，其余将用于开发这种先进的预警系统，以减少金枪鱼对海洋变暖反应的不确定性。”GCF已经批准了申请的概念，目前正在为该项目制定资助提案，目标是在2024年4月提交。参与GCF区域金枪鱼方案提案的国家有：库克群岛、斐济、基里巴斯、马绍尔群岛、瑙鲁、纽埃、帕鲁阿、巴布亚新几内亚、萨摩亚、所罗门群岛、汤加、图瓦卢和瓦努阿图以及密克罗尼西亚联邦。（周晓编译）,674,旅游,库克群岛  基里巴斯 马绍尔群岛 瑙鲁 纽埃 帕鲁阿 巴布亚新几内亚 萨摩亚 所罗门群岛 汤加 图瓦卢和瓦努阿图以及密克罗尼西亚联邦。,太平洋 渔业 气候 美元 国家 ,绿色气候基金（GCF） 保护国际（ConservationInternational） 太平洋共同体气候渔业顾问库莫鲁（LudwigKumoru）,2022.11.30,321,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227219&idx=5&sn=c52f25f2474dd4ec917d9c39102d5078&chksm=bef922e5898eabf3203eb82f23c06e77574d0592482a33934be472aa66a72bfa2e6ffbcb2f89#rd
247,斐济航空开通飞往汤加和萨摩亚的新航班,斐济航空公司（Fiji Airways）近日宣布向汤加和萨摩亚等热门旅游目的地提供额外航班服务，并为塔布阿俱乐部（Tabua club）会员提供新的优惠。Traveldailymedia网站报道，斐济航空公司目前提供每周三次从斐济楠迪飞往萨摩亚的夜间航班，以及每周两次飞往汤加的夜间航班，以满足旅客对前往南太平洋度假的日益增长的需求。随着夜间航班的增加，旅客们现在有更多的选择来到热带天堂斐济、萨摩亚和汤加游玩。从楠迪出发，斐济航空目前提供每周7次飞往萨摩亚的航班，以及每周5次飞往汤加的航班。在谈到扩大服务的决定时，斐济航空公司董事总经理兼首席执行官维尔约恩（Andre Viljoen）表示：“随着假期旅游旺季的临近，我们很高兴为旅客提供更多前往南太平洋目的地的航班。”据悉，飞往汤加和萨摩亚的大多数旅客都是从悉尼出发，而且表现超出了预期。“我们还看到12月从布里斯班飞往汤加和1月从墨尔本飞往萨摩亚的航班需求有所增加。”直到今年8月1日，国际游客才可以再次入境萨摩亚和汤加。自今年9月开始，从萨摩亚进入汤加仅需确认已接种疫苗。斐济航空不断扩大的目的地和服务网络，目前包括斐济、澳大利亚、新西兰、美国、新加坡、萨摩亚、汤加、图瓦卢、基里巴斯、瓦努阿图、所罗门群岛和加拿大，并于11月25日扩大飞往汤加和萨摩亚的班次。此外，斐济航空还表示，它获得了南太平洋最佳食品和饮料的APEX乘客选择奖。,597,旅游, 澳大利亚 新西兰 美国 新加坡 萨摩亚 汤加 图瓦卢 基里巴斯 瓦努阿图 所罗门群岛和加拿大,汤加 萨摩亚 飞往 航班 航空 ,APEX乘客选择奖,2022.11.30,323,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227219&idx=7&sn=7dcf3f80d6b5b3496cbbff5306813fdd&chksm=bef922e5898eabf37d7f0e1f2f9f1e6a08a775889d733e187e7d3255eea462ff2f3de4876647#rd
252,建设气候适应型码头 新西兰向瓦努阿图资助1000万元,新西兰23日宣布将帮助瓦努阿图完成三座气候适应性码头的建设，以支持太平洋地区的经济复苏。新西兰RNZ报道，新西兰太平洋人民事务部部长西奥（Aupito William Sio）在瓦努阿图首都维拉港代表新西兰出席南太平洋共同体（SPC）部长级会议时宣布了这一消息。西奥表示，作为瓦努阿图岛内航运支持项目（VISSP）的一部分，1000万新西兰元的资金将用于帮助建成码头。他说，早些时候新西兰已帮助VISSP完成了两座码头的建设，建立了瓦努阿图海事监管机构办公室，并推行了加强海上安全监管能力的改革。他补充说：“在新西兰的支持下，维拉港南帕雷码头的重新设计工作也已经完成，南帕雷和其他两个码头的工作正在进行中。”新西兰外长马胡塔（Nanaia Mahuta）表示，码头的建成将有助于改善岛屿间的联系，支持更广泛的卫生服务和教育。“新西兰是一个太平洋国家。对太平洋地区有利的事对我们也有利，因为我们知道，影响太平洋周边地区的经济和气候问题，也对我们国内有直接影响。因此，帮助建立可靠和定期的航运服务对瓦努阿图人民的经济繁荣、生计和福祉至关重要。”每年，有成千上万的公民往返于瓦努阿图和新西兰之间，进行教育、旅游，并作为公认的季节性劳工（RSE）计划的一部分工作。在新西兰关闭边境期间，瓦努阿图是太平洋地区唯一一个仍用包机运送RSE工人的国家，以填补园艺行业的劳动力短缺。马胡塔指出，“新西兰和瓦努阿图有着密切的伙伴关系，在新冠肺炎疫情造成的破坏之后，这是一个重新建立面对面联系的机会。”（周晓编译）,646,旅游,新西兰 瓦努阿图,新西兰 瓦努阿图 码头 太平洋 帮助 ,南太平洋共同体（SPC） 瓦努阿图岛内航运支持项目（VISSP） 季节性劳工（RSE）计划,2022.11.27,328,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227134&idx=2&sn=3b24e9790969d2a88284243ecfd6a947&chksm=bef92248898eab5ed7f7b290c7ce8728e417dab074ebe15b03ddb16eb6e083ce9224b45da827#rd
262,致力于恢复欧盟免签入境 瓦努阿图为公民项目寻找新代理,瓦努阿图新当选的总理卡尔萨考（Ishmael Kalsakau）近日表示，对新政府为恢复欧盟免签入境所做的努力充满信心。瓦努阿图《瓦国日报》报道，新总理坚持政府不会停止，直到他们挽救局势，恢复瓦努阿图公民计划的完整性。卡尔萨考从一开始就参与指导政府设立这个项目，他说，“对公民项目的重组最终将改善该项目的管理，同时解决欧盟提出的问题。我们也注意到，这样的重组不能影响从该计划获得的收入。”政府将考虑各种可用的选择，其中之一可能是瓦努阿图采用“一个主代理”。虽然当局仍在考虑这个选项，但这意味着所有代理将在一个主代理手下。另一方面，一名系统设计者被指定来设计和建立一个数据库系统，这将最终改善项目的管理。系统将集中所有数据，并在公民身份、财政、瓦努阿图金融情报部门（VFIU）和国际刑警组织等关键利益攸关方之间建立联系。这个项目为政府收入贡献了大量现金。仅公民身份计划的收入目标就为每年90亿瓦图（约合7470万美元），目前已经筹集了55亿瓦图（约合4565万美元）。政府相信，该项目将在今年12月底前实现年度目标。（萨琳编译）,463,旅游,瓦努阿图 欧盟,项目 瓦努阿图 政府 公民 代理 ,欧盟 瓦努阿图公民计划 瓦努阿图金融情报部门（VFIU） 国际刑警组织,2022.11.24,339,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227095&idx=6&sn=de5c7c95ca6cdd0aff655c0783fe72a9&chksm=bef92261898eab776dd97ec9744445f586659455eb358e7008e6a9b1a7caf66c6a03431c51f2#rd
264,澳新劳工计划致大批岛国医护人员外流 专家：岛国医疗体系出现严重缺口,随着澳新劳工计划得重启，太平洋岛国越来越多从事老年护理工作的资深护士纷纷离开，前往澳大利亚和新西兰工作，专家们担心，这种“人才外流”正给岛国的医疗体系留下严重缺口。澳洲广播公司（ABC）报道，世界各地的卫生系统都在努力解决人员配备长期不足的问题，而疫情加剧了这一问题。许多国家正在从国外引入劳工。今年4月，澳联邦政府通过太平洋澳大利亚劳工计划（PALM）增加了赴澳工作的员工数量，他们在酒店、旅游业和老年护理行业工作，以解决这里的关键技能短缺问题。斐济护理协会主席乌迪尼亚波拉（Alisi Vudiniabola）表示，斐济许多“非常有经验和非常合格”的护士都陆续离开了，去从事他们无法胜任的工作，比如老年护理。她表示：“其中一些是助产士，一些是高级临床护士，一些是初级卫生保健中心的经理。失去这些合格的护士对斐济来说是一个巨大的损失。”目前还没有关于在海外工作的斐济护士总数的数据，但乌迪尼亚波拉估计，在过去的6个月里，约有一半的斐济护士前往澳大利亚、新西兰、中东和美国。尽管卫生系统面临越来越大的压力，但斐济政府对这些数字守口如瓶。乌迪尼亚波拉表示，至少在岛国医院工作的护士有机会提高自己的技能。“我只是希望……澳大利亚能看到他们职业发展的途径，而不是让他们只做老年护理人员。”所罗门群岛的情况也类似，这里繁忙的急诊部门最近因为澳大利亚的计划失去了一些“非常资深”的护士。所罗门群岛卫生部国家护理主任拉鲁伊（Michael Larui）表示：“他们的离开留下了缺口，所以对我们来说，这是一个问题。所罗门群岛应控制劳工外流，因为这肯定会对我们提供的服务产生影响”。在瓦努阿图，助产协会主席欧柏德（Harriet Obed）表示护士和助产士对PALM计划的兴趣越来越大，她说：“这促使护士们去国外寻找更好的选择。”（罗伊编译）,763,旅游,澳大利亚 新西兰 中东 美国  所罗门群岛 瓦努阿图,护士 工作 护理 劳工 计划 ,澳新劳工计划（PALM）助产协会所罗门群岛卫生部斐济护理协会,2022.11.22,341,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227095&idx=8&sn=f7910f7c4e754ccf643aa464b312edca&chksm=bef92261898eab77ccd0f19cd9bc6a810c688c68babc2de8b8453b374bbc5a7669568efd21a4#rd
268,港口局基建项目完成 所罗门总理称赞“执法有力”,所罗门群岛港口局（SIPA）近日为三大主要基建项目举行官方揭幕仪式。在开幕式上，总理索加瓦雷（Manasseh Sogavre）称赞SIPA是一个“所罗门群岛成功执行法规的好例子”。所罗门群岛《所罗门星报》11月13日报道，这三个基建项目包括最近竣工的入口大门（Entry Gate）建筑、港口及执法（Harbours and Enforcement）建筑和即将竣工、耗资1.25亿所罗门元的国内航站楼及综合性广场。预计广场将耗资3500万至4500万所罗门元。索加瓦雷表示，他对SIPA在国内港口区域执法，禁售槟榔和烟草的能力感到惊讶。“我们国家有规定，但我们在执行时却非常松散。”他强调，SIPA证明，如果每个人都有所努力，执行好规定是可能的。他还提到，自2019年上任以来，他参加了多次剪彩和动工仪式。他很高兴能够见证这些活动，它们意味着政府的配备设置已经交付。（萨琳编译）,390,旅游,所罗门群岛,所罗门 SIPA 基建 项目 执法 ,所罗门群岛港口局（SIPA）,2022.11.18,347,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227037&idx=3&sn=581b11a431cb40fa423bfb5b03e85b21&chksm=bef9222b898eab3d6e3644503c2412860174b4c5f0de804e0df9b51f321157fe23cd1afcffb7#rd
270,“不要再让我们的水母消失了” 帕劳总统COP27吁控制全球变暖,近日，在埃及沙姆沙伊赫召开的第27届联合国气候大会（COP27）上，帕劳总统惠普斯（Surangel Samuel Whipps）发表讲话，强调了气候危机对该国的影响。太平洋岛屿新闻协会11月10日援引南太平洋区域环境署报道，气候危机带来的极端高温已经杀死了帕劳世界知名的水母湖中3000多万只美丽且不蜇人的水母，夺走了这个太平洋国家的明星旅游景点之一，并影响了其经济。惠普斯说，“这是已知的第三起水母消失事件。1997年和2017年也发生过。每次它们都消失了两年。作为我们的明星景点之一，我们面临着失去旅游业一个关键组成部分的风险，这将进一步摧毁我们的经济。”他强调，这只是气候变化的众多影响之一，其他还包括海平面上升、干旱和粮食安全问题等。“这一现实突出了我们今天的紧迫呼吁，要求所有国家采取必要措施，将全球变暖限制在1.5摄氏度以内。我们不应该再被化石燃料挟持了。”惠普斯说，必须把COP27作为一个机会，采取有意义的步骤，帮助最脆弱的群体，特别是生活在太平洋地区的人，他们处于气候变化的最前沿。在COP27上，世界领导人可以从帕劳的经验中吸取教训。此外，帕劳还敦促发达国家兑现1000亿美元的气候资金承诺。（萨琳编译）,513,旅游,埃及 帕劳 美国,气候 帕劳 COP27 太平洋 水母 ,联合国 COP27 南太平洋区域环境署 亚太计划,2022.11.15,349,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227037&idx=5&sn=0d1e90a69b1f0abdd295cc74d72923ef&chksm=bef9222b898eab3dcd1894138b5b5f8b97a30775d8fc73847bc18178432affa99a3a134bd50d#rd
271,欧盟暂停瓦国“黄金护照” 网上拍卖却“火”了？,欧盟近日宣布全面暂停瓦努阿图公民的免签入境，原因是瓦努阿图的“黄金护照”计划向投资者提供国籍。太平洋岛屿新闻协会网9日援引法新社报道，代表欧盟27个成员国的欧洲理事会8日表示，这一禁令将从2023年2月起生效。此举扩大了欧洲的部分暂停规模，这些暂停措施自今年3月谈判未能解决问题后生效。声明指出，“该国未能以任何有意义的方式参与进来，导致暂时中止的情况仍然存在。”欧盟方面一直在寻求打击所谓的“黄金护照”计划，既针对欧盟成员国，也针对那些允许公民在没有签证的情况下进入欧盟的非欧盟国家。欧盟将这些举措视为对其内部安全构成了威胁。一旦旅行者进入欧盟，欧盟成员国之间几乎不存在护照管制。就瓦努阿图而言，欧洲理事会强调其计划的申请人“拒签率极低”，其中包括来自需要欧盟签证国家的国民。声明还指出，瓦努阿图“黄金护照”的申请人不需要是该国的居民，一些人尽管在国际刑警组织的观察名单上，但还是得到了瓦努阿图护照。瓦努阿图计划的网上广告宣称，申请人可以在一到两个月内获得护照，费用为13万美元。其中一些网站注意到欧盟签证的变化，并添加了一个“更便宜的报价”——从加勒比海国家圣基茨岛和尼维斯（Saint Kitts and Nevis）获得护照，仍然可以免签证进入欧盟，价格为11万美元。（周晓编译）,544,旅游,欧盟 瓦努阿图 欧洲理事会 圣基茨岛和尼维斯,欧盟 护照 瓦努阿图 暂停 黄金 ,欧盟 欧洲理事会 国际刑警组织 瓦努阿图“黄金护照”计划 加勒比海国家圣基茨岛和尼维斯,2022.11.15,350,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227031&idx=1&sn=e38da19562c034bf6281b8801b126a6f&chksm=bef92221898eab37f71584d55e9f2d1b6c8823841c51095b2441e25659f95d2d86417414f25e#rd
274,经常往返萨摩亚-新西兰旅客无需办签证？新西兰移民部长：尽快处理,新西兰政府很快将允许萨摩亚的频繁旅行者在访问新西兰时绕过签证要求。新西兰1News网15日报道，移民部长伍德（Michael Wood）证实，他希望在未来几个月内签署这一变化。这将覆盖那些经常旅行的人，包括商务和外交目的。伍德指出，“对于经常往返于太平洋地区和新西兰之间的人，我们有一些具体的要求，我们已经调查过了，以确定我们是否可以为他们提供便利，让他们更顺利地旅行。”当被问及这一例外情况是否可以进一步扩大到其他太平洋国家时，伍德说这些都是考虑的一部分内容。这些变化是在报道指出太平洋各国领导人近几个月来提出了对签证要求的担忧之后发生的。根据《官方信息法》发布的数据显示，被新西兰移民官员拒绝的所有旅游签证中，约有一半是来自太平洋国家的申请者。相比之下，想去太平洋地区度假的新西兰人不需要申请旅游签证。但是政府为目前的政策设置进行了辩护。伍德说：“我们尊重各国就自己的边界作出决定，并适当管理这些决定的权利。我相信，我们的太平洋伙伴也尊重新西兰为自己作出的这些决定。”太平洋人民部长西奥（Aupito William Sio）也认为这个问题是一个特别的焦点。“这是我们社区年复一年提出的一个问题。这种声音时而响亮，时而消散，但这次，呼声越来越大。”（周晓编译）,532,旅游,萨摩亚 新西兰 太平洋国家,新西兰 太平洋 签证 这些 经常 ,联合国 亚太计划,2022.11.10,354,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227031&idx=5&sn=a443dd81877c88f20a28bcf5e9a0ee05&chksm=bef92221898eab37ba71f6f215de8bbeac30ed3125cef6e21c5b39166808e4e21a712aabce92#rd
282,半数太平洋游客不符合新西兰的“真正”游客标准？,新西兰绿党近日呼吁新西兰政府改变签证设置，允许来自太平洋群岛的游客在无需申请签证的情况下访问新西兰。太平洋岛屿新闻协会网4日报道，绿党太平洋岛裔事务发言人图奥诺（Teanau Tuiono）说:“太平洋人民应该能够去新西兰探亲，不管他们的收入如何，也不需要跳过殖民时期的障碍就能与对方共度时光。”11月1日，据新西兰1News网报道称，新西兰移民局拒绝的访问签证申请中，有一半是从太平洋地区前往新西兰的人。其中一个原因是来自太平洋的游客不符合“真正”游客的标准。图奥诺指出，“新西兰移民局拒绝签证申请的理由是，他们认为太平洋人可能想要长期居住在新西兰，但这通常是因为一种过时的、直白的、种族主义假设，因为他们或贫穷或失业。”他补充说：“在此基础上，‘突击检查’时代对太平洋人民的观念似乎在我们的签证规则中依然存在。这些殖民时代的规定意味着自由迁徙仍然是富人的特权，而数以百计的太平洋人却无法见到他们的家人。他强调，“如果本届政府真的（想让民众）相信它所说的新西兰是太平洋国家大家庭的一部分，那么它需要立即更新签证规则，以更好地反映太平洋国家的价值观。所以，绿党明确表示，无论收入如何，太平洋彼岸的人们都应该能够探访他们在新西兰的家人。”（周晓编译）,524,旅游,新西兰 太平洋群岛,太平洋 新西兰 签证 游客 绿党 ,新西兰绿党 太平洋岛屿新闻协会 新西兰移民局 联合国 亚太计划,2022.11.5,365,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649226968&idx=7&sn=dc69a50e6dec84b3fd4da35b29e7cfc1&chksm=bef923ee898eaaf8dcf1db57dc7a96965f89113acf1d39f5d8684573187886bddd0f6d3a5c55#rd
289,【快讯】2022年11月10日斐济共新增1例新冠确诊病例,今日共8名患者康复，自2020年3月19日确诊首个病例以来，斐济现有活跃病例75个，共记录了68287个病例，其中66335人康复，878人死亡。2021年4月出现的新一波疫情产生病例达到68217。死亡病例中，876人死于今年4月开始的第二波疫情。公众可登录http://bit.ly/3vE2ZBb查看确诊病例详细位置和热力图。卫生部还开通了疫苗接种热力图网站，公众可以登陆http://bit.ly/3h2JfCZ了解实时、详细的疫苗接种情况。截至2022年11月10日，斐济共有95.4%的成人（59.0万人）完全接种了疫苗，104.1%（原文数据）的成人（64.4万人）完成了第一针疫苗的接种。15至17岁的儿童共有32503名完全接种了疫苗，39075名完成了第一针疫苗的接种。12至14岁的儿童共有17232名完全接种了疫苗,369,旅游,Not mentioned,病例 疫苗 接种 确诊 共有 ,联合国,2022.11.1,373,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649226939&idx=1&sn=71a4843b476a30f80a695a7b86fc6f68&chksm=bef9238d898eaa9ba195ad07556d728288db1109f14dcd024c28b30862fe29f7ba0a5f31d000#rd
294,推动可再生能源 汤加首个大规模电池储能系统启用,10月25日，汤加首相胡阿卡瓦梅利库（Huákavameiliku）和来自亚洲开发银行（ADB）等的嘉宾共同出席汤加首个大规模电池储能系统（BESS）揭幕式。这两个电池储能系统是位于两个不同地点的汤加可再生能源项目（TREP）的成果。汤加Matangi新闻网报道，第一个系统用于电网稳定，位于Popua电站，第二个系统用于负载转移，位于Tofoa的Matatoa地区NEMO新运营设施后面。整个揭幕活动强调的一个一致主题是，在新冠肺炎疫情期间，所有相关利益攸关方必须坚持不懈地开展合作，规划、融资和实施这一关键的技术组成部分，实现汤加在2025年底前实现可再生能源发电量70%的国家自主贡献目标。该项目总投资1670万美元，由亚洲开发银行、绿色气候基金会和澳大利亚政府共同资助，由汤加电力有限公司在汤加政府的协助下实施。该项目的承包商是Akuo。（萨琳编译）,379,旅游,汤加  澳大利亚,汤加 系统 再生 能源 电池 ,亚洲开发银行 绿色气候基金会 澳大利亚政府 汤加电力有限公司 Akuo,2022.10.30,379,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649226868&idx=1&sn=8165481ed712a7476ccdbd254359af7a&chksm=bef92342898eaa54fa1e39c416d76b24d0ebf6aaf0162ecd137223a07e86f875e88e7da17d61#rd
