,Title,Context,Length,Category,Countries mentioned,Top5-Hot-Words,Organizations,Release Date,Unnamed: 0,URL
370,【快讯】2022年9月29日斐济无新增新冠确诊病例,今日共12名患者康复，自2020年3月19日确诊首个病例以来，斐济现有活跃病例78个，共记录了68242个病例，其中66302人康复，878人死亡。2021年4月出现的新一波疫情产生病例达到68172。死亡病例中，876人死于今年4月开始的第二波疫情。公众可登录http://bit.ly/3vE2ZBb查看确诊病例详细位置和热力图。卫生部还开通了疫苗接种热力图网站，公众可以登陆http://bit.ly/3h2JfCZ了解实时、详细的疫苗接种情况。截至2022年9月28日，斐济共有95.3%的成人（58.9万人）完全接种了疫苗，104.1%（原文数据）的成人（64.3万人）完成了第一针疫苗的接种。15至17岁的儿童共有32441名完全接种了疫苗，39035名完成了第一针疫苗的接种。12至14岁的儿童共有16916名完全接种了疫苗,369,旅游,Not mentioned,病例 疫苗 接种 确诊 共有 ,无,2022.9.28,474,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649226399&idx=1&sn=2faa5967e094623d5e84f8ca03acebc9&chksm=bef921a9898ea8bfd8ee516364cf8400f8a61603034a030ca5c40223b9ddc07ffd3612934a03#rd
378,新西兰重新开放太平洋劳工注册计划 未来两年内提供5900个名额,新西兰移民部长伍德（Michael Wood）近日宣布重新开放太平洋季节性雇主计划。新西兰RNZ网站报道，萨摩亚配额居民签证（Samoan quota）登记将于10月3日开始，太平洋准入类别签证（Pacific Access Category）登记将于10月5日开始。伍德表示，太平洋劳工注册计划将在未来两年为5900人提供成为新西兰居民的机会，有助于减少全球劳动力短缺的影响，并帮助增长经济。伍德称：“这是一个重要的里程碑，因为太平洋准入类别签证和萨摩亚配额居民签证是长期存在的签证类别，使我们的太平洋伙伴国家的民众能够成为新西兰居民。”他说:“它承认了新西兰和太平洋地区之间的历史关系，我们很高兴看到这些签证类别再次向我们的太平洋邻国开放。”目前，只开放一个月的申请登记现在已经主要转移到线上。伍德说:“我们也认识到在某些情况下转向网络会产生的影响，我们已经做了相关工作，以确保有可用的资源，以确保注册者能够轻松地得到在网上申请所需的所有信息。”“未来两年的5900个名额包括正在重新分发的2020/2021年未使用的名额。太平洋准入类别的未使用名额将在2022年和2023年重新分配，而萨摩亚配额居民签证的未使用名额将在2022年至2025年的4年时间内重新分配。我们期待着通过这些途径欢迎更多的来自太平洋邻国的民众。”据悉，萨摩亚配额居民签证的申请将开放到11月2日，太平洋准入类别签证的申请将开放到11月4日。,610,旅游,新西兰 萨摩亚 太平洋地区,太平洋 签证 新西兰 开放 居民 ,太平洋季节性雇主计划 萨摩亚配额居民签证 太平洋准入类别签证 太平洋劳工注册计划,2022.9.26,482,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649226345&idx=7&sn=11d742044a8157b1d2b3281dbdf4c361&chksm=bef9215f898ea849f53b30fc483ec0eddb90dba128fd914e9c59a122e999ba08ec356e188bf8#rd
384,马绍尔群岛宣布开放边境：是时候让生活恢复正常化了,【南太之声编译报道】马绍尔群岛9月15日结束了3年多来的健康灾难状态，并在该周内开放边境，允许正常旅行。太平洋岛屿新闻协会网援引马绍尔群岛日报网报道，马绍尔群岛政府的健康灾难状态在当地时间于15日到期，国家灾难委员会表示没有理由继续延长。为应对奥密克戎变种BA.5的传播，政府8月初制定了在公共场所佩戴口罩的规定，预计国家灾害委员会将在短期内取消这一规定。卫生部长尼丹瑟尔（Jack Niedenthal）说:“马绍尔群岛在经历了3年多的卫生紧急/灾难状态之后，感谢上帝，它终于结束了。我想对所有人说一声kommol tata（谢谢），感谢社区范围内的巨大努力，让我们渡过了难关。现在是时候继续前进，让我们的生活（恢复）正常了。”政府首席秘书卡布亚（Kino Kabua）证实，取消戴口罩的规定已列入国家灾害委员会的议程。她说:“目前的命令是基于最初的预测，即我们将经历两到三个月的疫情。但事实并非如此。”奥密克戎变种BA.5在马绍尔群岛经历过一段“起伏”。8月中旬预计（感染）总人口为4.2万人，而在第一批病例出现后的一个星期内，每天报告的感染人数超过1000例。到9月1日，马朱罗（Majuro）和埃贝耶（Ebeye）的病例数下降到每天不到10例，本周马朱罗和埃贝耶几乎没有报告新病例，只有两个外岛报告了少量新病例。自2020年年中以来，马绍尔群岛对入境采取有管理的防疫措施。近日该禁令被解除，成为两年半以来首次开放边境。（周晓编译）,619,旅游,马绍尔群岛,马绍尔 群岛 灾难 病例 开放 ,太平洋岛屿新闻协会网 国家灾害委员会 亚太计划,2022.9.24,488,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649226300&idx=6&sn=ef21a71a75afca773795e82160e80046&chksm=bef9210a898ea81cafd9bf41d109e8557916417508fb28c593650bb14a026985b1346e6bf62e#rd
385,萨摩亚旅游经营者吁游客给予更多理解和支持,【南太之声编译报道】萨摩亚旅游经营者近日谴责了一些外国游客不切实际的期望，以及一些当地人对旅游业疏于支持的行为，同时呼吁大家（对该行业给予）理解。萨摩亚观察者网9月19日报道，乌波卢岛（Upolu）南岸的一位只愿透露姓名为法拉尼（Falani）的海滩酒店经理指出，一些外国客人对萨摩亚的服务抱有很高的期望，却在暗中协商完后拿着退款离开。“我们虽然员工很少，但我们仍欢迎客人，”法拉尼说。“上月底，我们接待了一些很好的客人，他们对阳光、温暖的大海和食物及我们的服务都很赞赏。但有一个团体让我们做了很多工作，然后要求退款。后来我们发现，他们在撒谎，这样我们就可以把钱退给他们，因为我们有取消政策。我们决定不去管它了，但我敢肯定他们也会对萨瓦伊岛（Savai’i）的其他经营者们这么做。”最近，在一位萨瓦伊岛的经营者将焦点放在了不知感恩的客人身上后，托米西纳岛度假酒店（Taumeasina Island Resort）和萨摩亚旅游管理局董事会主席巴克纳尔（Tuiataga Nathan Bucknall）也在社交媒体上发表了看法。巴克纳尔说:“我真的很难过，因为我们刚刚开放了边境。有些人做得还好，有些人不行。但每个人都在尽最大努力达到所需的标准。令人难过的是，人们不是在帮助这个行业，而是试图把它搞垮，这是一个萨摩亚人把另一个萨摩亚人搞垮。”巴克纳尔呼吁大家对萨摩亚的旅游经营者表示赞赏和理解。他说，每个人都在尽最大努力重新振作起来。以下是萨瓦伊岛旅游运营者在社交平台“脸书”（Facebook）上发布的部分内容：“请为我们酒店的同事考虑一下吧。萨摩亚的所有旅游业务都遭受了新冠肺炎疫情长达3年的影响。当你以为安全的时候，第二波浪潮带来了大量的游客，但我们的行业仍然处于困境当中，没有足够的工人来满足需求。对于所有在旅游行业工作的人，自从边境开放以来，你们已经加班好几星期，只是用一片热忱服务他人，我们向你们致敬。正是因为你们的坚持不懈，我们的酒店业才会再次蓬勃发展，你们将继续秉持着对国家的热爱和为他人服务（的信念）继续做下去。”（周晓编译）,872,旅游,萨摩亚 乌波卢岛 萨瓦伊岛 托米西纳岛,萨摩亚 旅游 经营者 一些 行业 ,联合国 亚太计划,2022.9.24,489,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649226300&idx=7&sn=f5a8cab1b312e2ab4bb5108b2584c892&chksm=bef9210a898ea81cdda2060d29395771ef13253ffd00a0657d3ce0e784ed998a92ac25c26370#rd
390,共商蓝色发展 所罗门群岛驻华大使在厦门参访涉海机构,为扩大“蓝色朋友圈”，立足厦门，加强与所罗门群岛及其他太平洋岛国的海洋交流与合作，厦门市海洋发展局官员近日陪同所罗门群岛驻华大使约翰·傅桂（John Fugui）、太平洋岛国贸易与投资署贸易专员莫纳·马托（Mona Mato）等一行参访自然资源部第三海洋研究所，并就共同拓展海洋合作进行座谈交流。首先，大使一行调研了自然资源部第三海洋研究所海洋大气化学与全球变化重点实验室，详细了解该所在气候变化研究方面取得的丰硕成果。随后，厦门市海洋发展局领导主持召开座谈会，与会人员就共同推进蓝色发展工作进行交流。自然资源部第三海洋研究所主要领导、分管领导、有关专家及福建海洋研究所国际交流培训中心主任、联泰集团厦门市联成渔业有限公司董事分别介绍了各自与太平洋岛屿国家在气候变化、蓝色经济、人才培训等领域的工作基础和合作设想。厦门市海洋发展局表示，将积极发挥作为沟通桥梁作用，依托厦门国际海洋周、厦门市海洋国际合作中心、国际海鲜展等平台，推动更多科研机构跟与所罗门群岛等岛国的科研院校进行合作，鼓励更多涉海企业到岛国进行合作和投资，共同推动岛国双方丰富的渔业资源、旅游资源的可持续开发利用。所罗门群岛驻华大使约翰·傅桂（John Fugui）表示，通过参加往届的厦门国际海洋周活动，对厦门的海洋发展有了更加深入的了解和认识，愿意为厦门涉海企业到所罗门群岛投资搭建桥梁，期待和欢迎厦门远洋渔业企业到所罗门群岛开展渔业资源开发利用；同时，希望和更多的在厦涉海企业和科研院所开展合作，支持组织人员参与在厦科研单位承办的涉海培训班。,656,旅游,所罗门群岛 中国 太平洋岛国,海洋 所罗门 群岛 厦门 合作 ,联合国 亚太计划 厦门国际海洋周 厦门市海洋国际合作中心 国际海鲜展 自然资源部第三海洋研究所 福建海洋研究所国际交流培训中心 联泰集团厦门市联成渔业有限公司。,2022.9.23,494,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649226251&idx=3&sn=bc5a2f5e1229944494e724b4b93fc127&chksm=bef9213d898ea82b293974ee3798dfc70934aeff34b658fcf1f6a85706d72c6d1987c770ef11#rd
392,取消口罩令和入境前检疫 瓦努阿图变更国际旅行规定,【南太之声编译报道】从12日开始，入境瓦努阿图的游客在飞机和抵达机场时都不再被要求佩戴口罩。这是卫生部近日宣布的国际旅行要求变更之一。对此，瓦努阿图旅游办公室（VTO）表示，取消出发前检疫措施将极大地帮助旅游业复苏。瓦努阿图《瓦国日报》报道，卫生部也表示，虽然不再强制要求在航班上佩戴口罩，但还是建议有严重疾病风险的乘客佩戴。卫生部公布的第二项变动是取消出发前检疫要求。从12日开始，如果旅行者没有症状，在进入瓦努阿图之前不需要进行新冠病毒检测。而那些患有新冠肺炎或有其他症状的人被要求推迟前往瓦努阿图的旅行。对此，旅游办公室表示，“‘胜利者’现在可以毫不费力地前往瓦努阿图。”办公室首席执行官阿鲁（Adela Issachar Aru）说：“瓦努阿图走过了漫长的道路。在今年7月重新开放边境之前的几个月里，取消所有入境前检测一直是一个有争议的问题，现在边境开放后，我们欢迎卫生部的修订改变。”如果游客想了解相关规定的更多信息，可以访问瓦努阿图卫生部官网查阅。（萨琳编译）,436,旅游,瓦努阿图,瓦努阿图 要求 卫生部 取消 入境 ,瓦努阿图旅游办公室（VTO）,2022.9.22,499,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649226235&idx=3&sn=6883514c6e0df1390f3d1685b7c64100&chksm=bef926cd898eafdb13ccb73f02385fbd01937add1c76d579e216ce1db51b6014337f0a0a1795#rd
396,所罗门群岛与欧盟将签署数百万美元援助项目,【南太之声编译报道】长期以来，欧盟一直是所罗门群岛发展的主要伙伴。欧盟近日将宣布一个价值数百万美元的项目，旨在改善服务交付（质量），加强政府能力，以支持以人为本的发展能力。所罗门群岛《所罗门星报》9月14日报道，欧盟驻所罗门群岛和太平洋地区大使希亚姆（Sujiro Seam）将于本周晚些时候在霍尼亚拉启动该项目时宣布新的资金安排。这笔资金将覆盖2022-2025财年，并将通过省级治理和服务交付项目来提供。一份来自斐济的新闻发布会前公告称，欧盟、联合国开发计划署和联合国儿童基金会将与所罗门群岛政府在国家和地方层面保持密切合作，通过提供技术和咨询援助，升级政策和法律框架，以推进以人为本、负责任和有效的服务交付权力下放。该项目价值800万美元或6550万所罗门群岛元。希亚姆大使本周的访问是他对所罗门群岛的第二次访问。他上一次访问是在4年前。据悉，希亚姆将在正式宣布仪式后在霍尼亚拉举行的45分钟新闻发布会上向媒体发表讲话。（周晓编译）,419,旅游,欧盟  所罗门群岛,所罗门 群岛 欧盟 项目 美元 ,欧盟 联合国开发计划署 联合国儿童基金会,2022.9.21,503,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649226177&idx=2&sn=72bd443f265bfbd6f0836e5d97f3e320&chksm=bef926f7898eafe1df7492d50cc100f27eab841eea472ac0d88b2d5de6cd218932b869086bbc#rd
403,瓦努阿图移民局长：正全力升级护照打印系统，处理积压申请,【南太之声编译报道】在局长马克森（Jeffrey Markson）的领导下，瓦努阿图移民和护照事务部近日正计划全新升级一款新的护照打印软件，预计将在未来6个月内投入使用。瓦努阿图《瓦国日报》9月3日报道，这是该部门为解决目前护照发放延迟问题所做出的部分努力。马克森说:“目前拖慢整个过程的问题是我们用于打印（护照）手册的软件。”该软件于2009年开始运作，根据该部门收集到的信息，软件系统目前无法升级。除了事务部为解决这一问题所做的工作外，一名高级官员威利（Stephen Willie）最近被任命为代理护照事务经理，专门负责和监督护照事宜。最近在斐济举行的太平洋移民局局长会议上，移民局局长确认已经向其他太平洋国家的同事提出了这个问题，并进一步寻求他们的许可，允许旅行者持身份证明（CI）通过边境。该证明是一种授权的旅行证件，允许个人通过与会（太平洋）国家边境。马克森重申，印刷机器工作正常，护照手册也有库存。他感谢政府资讯科技总监办公室（Office of the Government Chief Information Officer）的工作人员和信息技术官员协助该部门建立了一个临时系统，至少可以改善目前的状况。自今年7月以来，约积压了900本护照手册。马克森证实，这个问题极大地影响了护照申请的收入。该部门正尽力确保这项服务得以维持，市民须有耐心。他进一步呼吁民众，尤其是在社交媒体上，尊重护照办公室的工作人员，因为他们下班后通常不会花时间陪孩子，而是加班加点印制护照。（周晓编译）,647,旅游,瓦努阿图  太平洋国家,护照 问题 局长 马克森 软件 ,太平洋移民局局长会议,2022.9.18,514,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649226140&idx=3&sn=2484f9c89a87d36f302733fbb21bc1bd&chksm=bef926aa898eafbcc19b69efad7dca3b1c0cb54a9a6283ee03fa892d0ebb221b885b49ffc734#rd
405,世界50佳岛屿名单出炉：太平洋地区岛屿都有哪些上榜？,【南太之声编译报道】国际旅游网站Big7travel近日列出了世界50佳岛屿，瓦努阿图圣埃斯皮里图岛（Espiritu Santo），又称桑托岛（Santo）排在第18位，该岛的蓝色海水和闪亮的沙滩照片非常漂亮。瓦努阿图《瓦国日报》2日报道，在今年的榜单中，桑托岛与新西兰的怀赫科岛（Waiheke Island）、马尔代夫、印度尼西亚的巴厘岛、澳大利亚的摩尔顿岛（Moreton Island）等地区一起跻身前20名。第一名是毛里求斯，第二名是牙买加，第三名是泰国的麦岛（Koh Mak），第四名是安圭拉（Anguilla），第五名是隶属于葡萄牙的马德拉群岛（Madeira）。Big Travel7介绍说，“桑托岛是瓦努阿图83个岛屿中最大的一个。它在很大程度上仍然保持着未受破坏的状态，有粉状的白沙和淡水蓝洞，周围是天然雨林。当你在飞机上看到这个地方的那一刻，你就会爱上它。”“作为世界上风景最优美的岛屿之一，这里有清澈的蓝色海水和闪闪发光的沙子。在香槟海滩，你还可以找到新鲜的水果摊、新鲜烹制的螃蟹和龙虾，以及可爱的海滨小屋。”桑托岛的香槟海滩经常被评为南太平洋和全球最好的海滩之一。2017年，它还曾被加拿大最大的在线旅游网站评为世界最佳海滩之一。Big Travel7网站表示，这份榜单是多样化的，名单中带有从热带沙洲到北欧海湾的各种特色，都是基于之前的社交媒体结果的综合评分，以及Big Travel7旅游编辑团队的贡献。该名单被认定为是一本度假指南。（周晓编译）,639,旅游,瓦努阿图 新西兰 马尔代夫 印度尼西亚 澳大利亚 毛里求斯 牙买加 泰国 安圭拉 葡萄牙 加拿大,岛屿 世界 桑托岛 海滩 名单 ,BigTravel7,2022.9.18,516,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649226140&idx=5&sn=86f4b88fd849a15f8ff027f7c9fcf405&chksm=bef926aa898eafbcb7d9a8eea089fe5e818ecfce1da5e9fc887e6a87c6c9e8bc32938ac476ce#rd
406,中瓦渔业公司总经理：瓦努阿图应增加渔船数量，以促进渔业营收,【南太之声编译报道】中瓦渔业有限公司（Sino-Van Fisheries Limited）总经理李先生（Jack Li）近日表示，如果瓦努阿图配备有必要的船舶维修基础设施，该国渔业将创造更大的利益价值。瓦努阿图《瓦国日报》9月2日报道，李先生说，由于缺乏包括滑道在内的基础设施，瓦努阿图不能接待大型船只。他说：“现在瓦努阿图只有6艘外国渔船在工作，还需要更多的船只。”他强调，如果有更多船只抵达瓦努阿图卸货，这个国家的渔业可能会产生更大的经济回报，这将为居民带来更多的就业机会，并为本地企业和市场供应商带来更多收入。但现在的问题是瓦努阿图没有造船厂或滑道。李说：“瓦努阿图目前没有滑道或船舶维修设施。因此，如果其他船只到达这里并需要维修，这将是一个大问题。”李继续指出，“渔船抵达卸货时通常需要维护和维修备件。但这个时候，这里的船没有任何替换部件。不同的国家为不同的船只制造不同的发动机，零件也是如此。因此，我们必须从各地进口零件。因此，如果此时有更多的渔船抵达，他们要维修船只将是极其困难的。”李指出，斐济目前有200多艘渔船，而瓦努阿图只有6艘渔船。而斐济从渔业业务中获益良多，瓦努阿图也应该效仿。据了解，与中瓦渔业有限公司合作的中国水产总公司（China National Fisheries Corporation）是瓦努阿图6艘渔船的所有者。（周晓编译）,583,旅游,瓦努阿图 中国 ,瓦努阿图 渔业 渔船 船只 维修 ,中国水产总公司,2022.9.18,517,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649226140&idx=6&sn=bb17547da2e1f3e9458428e87d6eda87&chksm=bef926aa898eafbce39b9b4c628d99dca862639b54a8efc4774ab2876f22e9eb1d7eb5d7f99e#rd
410,阿尔巴尼斯：期待会见所罗门群岛总理 希望与太平洋地区建立良好关系,【南太之声编译报道】澳大利亚总理阿尔巴尼斯（Anthony Albanese）7日表示，他仍然期待着下个月在堪培拉接待所罗门群岛总理索加瓦雷（Manasseh Sogavare），尽管他最近对澳大利亚政府进行了抨击。6日，索加瓦雷称，阿尔巴尼斯政府为这个太平洋国家即将举行的选举提供补贴，是“外国政府对我们国内事务的直接干涉”。澳大利亚《悉尼晨锋报》报道，在宣布政府将推动低价药品的新闻发布会上，阿尔巴尼斯表示:“我们希望与太平洋国家建立良好关系。我非常期待接待索加瓦雷总理。当涉及到我们地区之间的接触时，我们会将一切推向正轨。这就是最大的区别。前任政府在这方面做出了不好的示范，我们都知道后果是什么。”阿尔巴尼斯还指出，他将在第13届橄榄球联赛上招待巴布亚新几内亚连任总理马拉佩（James Marape）。据悉，澳大利亚球员将于本月底在澳洲昆士兰州对阵巴布亚新几内亚国家队。（罗伊编译）,395,旅游,澳大利亚 所罗门群岛 巴布亚新几内亚,阿尔巴尼斯 总理 政府 澳大利亚 期待 ,太平洋地区计划（PacificIslandsForum）,2022.9.17,521,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649226087&idx=2&sn=7bf58acc4714561d7adaeb32aa0e2289&chksm=bef92651898eaf47e05d570fe2d1eaa4856958313aa1e47443018953da667c1fc103af675333#rd
419,瓦努阿图移民局长：正全力升级护照打印系统，处理积压申请,【南太之声编译报道】在局长马克森（Jeffrey Markson）的领导下，瓦努阿图移民和护照事务部近日正计划全新升级一款新的护照打印软件，预计将在未来6个月内投入使用。瓦努阿图《瓦国日报》9月3日报道，这是该部门为解决目前护照发放延迟问题所做出的部分努力。马克森说:“目前拖慢整个过程的问题是我们用于打印（护照）手册的软件。”该软件于2009年开始运作，根据该部门收集到的信息，软件系统目前无法升级。除了事务部为解决这一问题所做的工作外，一名高级官员威利（Stephen Willie）最近被任命为代理护照事务经理，专门负责和监督护照事宜。最近在斐济举行的太平洋移民局局长会议上，移民局局长确认已经向其他太平洋国家的同事提出了这个问题，并进一步寻求他们的许可，允许旅行者持身份证明（CI）通过边境。该证明是一种授权的旅行证件，允许个人通过与会（太平洋）国家边境。马克森重申，印刷机器工作正常，护照手册也有库存。他感谢政府资讯科技总监办公室（Office of the Government Chief Information Officer）的工作人员和信息技术官员协助该部门建立了一个临时系统，至少可以改善目前的状况。自今年7月以来，约积压了900本护照手册。马克森证实，这个问题极大地影响了护照申请的收入。该部门正尽力确保这项服务得以维持，市民须有耐心。他进一步呼吁民众，尤其是在社交媒体上，尊重护照办公室的工作人员，因为他们下班后通常不会花时间陪孩子，而是加班加点印制护照。（周晓编译）,647,旅游,瓦努阿图  ,护照 问题 局长 马克森 软件 ,太平洋移民局局长会议,2022.9.13,514,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649226140&idx=3&sn=2484f9c89a87d36f302733fbb21bc1bd&chksm=bef926aa898eafbcc19b69efad7dca3b1c0cb54a9a6283ee03fa892d0ebb221b885b49ffc734#rd
421,世界50佳岛屿名单出炉：太平洋地区岛屿都有哪些上榜？,【南太之声编译报道】国际旅游网站Big7travel近日列出了世界50佳岛屿，瓦努阿图圣埃斯皮里图岛（Espiritu Santo），又称桑托岛（Santo）排在第18位，该岛的蓝色海水和闪亮的沙滩照片非常漂亮。瓦努阿图《瓦国日报》2日报道，在今年的榜单中，桑托岛与新西兰的怀赫科岛（Waiheke Island）、马尔代夫、印度尼西亚的巴厘岛、澳大利亚的摩尔顿岛（Moreton Island）等地区一起跻身前20名。第一名是毛里求斯，第二名是牙买加，第三名是泰国的麦岛（Koh Mak），第四名是安圭拉（Anguilla），第五名是隶属于葡萄牙的马德拉群岛（Madeira）。Big Travel7介绍说，“桑托岛是瓦努阿图83个岛屿中最大的一个。它在很大程度上仍然保持着未受破坏的状态，有粉状的白沙和淡水蓝洞，周围是天然雨林。当你在飞机上看到这个地方的那一刻，你就会爱上它。”“作为世界上风景最优美的岛屿之一，这里有清澈的蓝色海水和闪闪发光的沙子。在香槟海滩，你还可以找到新鲜的水果摊、新鲜烹制的螃蟹和龙虾，以及可爱的海滨小屋。”桑托岛的香槟海滩经常被评为南太平洋和全球最好的海滩之一。2017年，它还曾被加拿大最大的在线旅游网站评为世界最佳海滩之一。Big Travel7网站表示，这份榜单是多样化的，名单中带有从热带沙洲到北欧海湾的各种特色，都是基于之前的社交媒体结果的综合评分，以及Big Travel7旅游编辑团队的贡献。该名单被认定为是一本度假指南。（周晓编译）,639,旅游,瓦努阿图 新西兰 马尔代夫 印度尼西亚 澳大利亚 毛里求斯 牙买加 泰国 安圭拉 葡萄牙 加拿大,岛屿 世界 桑托岛 海滩 名单 ,BigTravel7,2022.9.11,516,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649226140&idx=5&sn=86f4b88fd849a15f8ff027f7c9fcf405&chksm=bef926aa898eafbcb7d9a8eea089fe5e818ecfce1da5e9fc887e6a87c6c9e8bc32938ac476ce#rd
422,中瓦渔业公司总经理：瓦努阿图应增加渔船数量，以促进渔业营收,【南太之声编译报道】中瓦渔业有限公司（Sino-Van Fisheries Limited）总经理李先生（Jack Li）近日表示，如果瓦努阿图配备有必要的船舶维修基础设施，该国渔业将创造更大的利益价值。瓦努阿图《瓦国日报》9月2日报道，李先生说，由于缺乏包括滑道在内的基础设施，瓦努阿图不能接待大型船只。他说：“现在瓦努阿图只有6艘外国渔船在工作，还需要更多的船只。”他强调，如果有更多船只抵达瓦努阿图卸货，这个国家的渔业可能会产生更大的经济回报，这将为居民带来更多的就业机会，并为本地企业和市场供应商带来更多收入。但现在的问题是瓦努阿图没有造船厂或滑道。李说：“瓦努阿图目前没有滑道或船舶维修设施。因此，如果其他船只到达这里并需要维修，这将是一个大问题。”李继续指出，“渔船抵达卸货时通常需要维护和维修备件。但这个时候，这里的船没有任何替换部件。不同的国家为不同的船只制造不同的发动机，零件也是如此。因此，我们必须从各地进口零件。因此，如果此时有更多的渔船抵达，他们要维修船只将是极其困难的。”李指出，斐济目前有200多艘渔船，而瓦努阿图只有6艘渔船。而斐济从渔业业务中获益良多，瓦努阿图也应该效仿。据了解，与中瓦渔业有限公司合作的中国水产总公司（China National Fisheries Corporation）是瓦努阿图6艘渔船的所有者。（周晓编译）,583,旅游,瓦努阿图 中国 ,瓦努阿图 渔业 渔船 船只 维修 ,中国水产总公司,2022.9.11,517,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649226140&idx=6&sn=bb17547da2e1f3e9458428e87d6eda87&chksm=bef926aa898eafbce39b9b4c628d99dca862639b54a8efc4774ab2876f22e9eb1d7eb5d7f99e#rd
426,阿尔巴尼斯：期待会见所罗门群岛总理 希望与太平洋地区建立良好关系,【南太之声编译报道】澳大利亚总理阿尔巴尼斯（Anthony Albanese）7日表示，他仍然期待着下个月在堪培拉接待所罗门群岛总理索加瓦雷（Manasseh Sogavare），尽管他最近对澳大利亚政府进行了抨击。6日，索加瓦雷称，阿尔巴尼斯政府为这个太平洋国家即将举行的选举提供补贴，是“外国政府对我们国内事务的直接干涉”。澳大利亚《悉尼晨锋报》报道，在宣布政府将推动低价药品的新闻发布会上，阿尔巴尼斯表示:“我们希望与太平洋国家建立良好关系。我非常期待接待索加瓦雷总理。当涉及到我们地区之间的接触时，我们会将一切推向正轨。这就是最大的区别。前任政府在这方面做出了不好的示范，我们都知道后果是什么。”阿尔巴尼斯还指出，他将在第13届橄榄球联赛上招待巴布亚新几内亚连任总理马拉佩（James Marape）。据悉，澳大利亚球员将于本月底在澳洲昆士兰州对阵巴布亚新几内亚国家队。（罗伊编译）,395,旅游,澳大利亚 所罗门群岛 巴布亚新几内亚,阿尔巴尼斯 总理 政府 澳大利亚 期待 ,太平洋地区计划（PacificIslandsForum）,2022.9.10,521,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649226087&idx=2&sn=7bf58acc4714561d7adaeb32aa0e2289&chksm=bef92651898eaf47e05d570fe2d1eaa4856958313aa1e47443018953da667c1fc103af675333#rd
